"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"11",0.662639098331389,0.00986419890493851,3,331,666,0.9
"223",0.649311915753273,0.00945445766903807,3,338,659,0.9
"358",0.672677093633108,0.00956433851204238,0,349,651,0.9
"339",0.671217221269748,0.0120559415283439,0,336,664,0.9
"354.1",0.682643544768702,0.0113507393788035,0,333,667,0.9
"333",0.656251548183838,0.0120770592266662,0,325,675,0.9
"214",0.657863579960388,0.0078254889005313,2,335,663,0.9
"326",0.642992601316074,0.0111371664842854,1,367,632,0.9
"288",0.646115032503212,0.00862109576968213,9,378,613,0.9
"280.1",0.654966187018391,0.0118659731618032,0,347,653,0.9
"397",0.694159777854089,0.0102485896493823,1,312,687,0.9
"154",0.697252610094527,0.011927730131831,2,290,708,0.9
"286",0.661246348094413,0.00841083736666643,5,318,677,0.9
"298.1",0.671159387148475,0.00957843449220727,3,300,697,0.9
"397.1",0.694159777854089,0.0102485896493823,2,324,674,0.9
"70",0.668555664927409,0.00997355369910815,1,340,659,0.9
"363.2",0.674558111222417,0.00654639833639832,11,310,679,0.9
"316",0.682209674593092,0.0109621976972855,2,321,677,0.9
"407.1",0.645990336626951,0.0100465630159356,2,347,651,0.9
"431",0.655870282477605,0.00895873900746816,1,339,660,0.9
"419",0.654485730512795,0.00851121561208627,5,348,647,0.9
"363.3",0.674558111222417,0.00654639833639832,13,306,681,0.9
"302",0.670292490382665,0.0120484070677646,0,343,657,0.9
"373.1",0.660932489033059,0.012685854201585,0,337,663,0.9
"458",0.649979427057186,0.014708594598491,1,355,644,0.9
"301",0.677790690778327,0.011602971479996,1,342,657,0.9
"70.1",0.668555664927409,0.00997355369910815,1,359,640,0.9
"366",0.674180667228986,0.00772357900954888,6,317,677,0.9
"398.1",0.675733769168121,0.0108065320607364,1,310,689,0.9
"334",0.69085048414382,0.00788101603469189,7,324,669,0.9
"378",0.660214779256884,0.0117962920336248,0,350,650,0.9
"343.3",0.665886614869909,0.0104916060144947,3,322,675,0.9
"252.1",0.656572464874807,0.0127399455749162,0,356,644,0.9
"417.1",0.677463745058698,0.00892756112683608,5,335,660,0.9
"208",0.671453611580772,0.0121398637030797,1,355,644,0.9
"304",0.664818366572769,0.0104966635758704,0,341,659,0.9
"429.1",0.683342690562098,0.0111455512289572,0,316,684,0.9
"343.4",0.665886614869909,0.0104916060144947,2,336,662,0.9
"193",0.666257246068912,0.0109853965870826,1,324,675,0.9
"132",0.66120923679749,0.0121223203765598,0,345,655,0.9
"368",0.663952139228747,0.0100010641965147,3,327,670,0.9
"320",0.660616253310754,0.0106169078978228,2,316,682,0.9
"171.1",0.653316942838338,0.0100878108539832,1,357,642,0.9
"180",0.669066992781353,0.00965006629773409,3,314,683,0.9
"247",0.650899295744986,0.00803060488199854,8,322,670,0.9
"248",0.683051276737298,0.00891349815232361,0,284,716,0.9
"386.1",0.651923707121264,0.0109911297383531,3,361,636,0.9
"454",0.669575195572588,0.00930234769578798,2,330,668,0.9
"123",0.671393901941377,0.0106160087235973,0,333,667,0.9
"19",0.666352296997168,0.00903821936086692,1,320,679,0.9
"341",0.679236807619732,0.00946167724891313,2,310,688,0.9
"81",0.655202471166136,0.0121966880403972,0,342,658,0.9
"453",0.656438233516195,0.0132849375847492,1,357,642,0.9
"243",0.666858659123087,0.00936102030438248,2,340,658,0.9
"38",0.673971245084637,0.0113958944584007,0,334,666,0.9
"296",0.672375219491273,0.00759322233743651,12,332,656,0.9
"101",0.686114676458181,0.0123310830068767,0,319,681,0.9
"184",0.669274508699221,0.0103333648700108,2,310,688,0.9
"451.2",0.680029591996044,0.00973705368726738,2,321,677,0.9
"368.1",0.663952139228747,0.0100010641965147,0,308,692,0.9
"366.1",0.674180667228986,0.00772357900954888,5,318,677,0.9
"267",0.647689007475227,0.00928247425678288,2,342,656,0.9
"323",0.675720663080473,0.00912333296799456,5,318,677,0.9
"407.2",0.645990336626951,0.0100465630159356,0,365,635,0.9
"130.1",0.650054486647583,0.00976317788558526,2,326,672,0.9
"184.1",0.669274508699221,0.0103333648700108,0,328,672,0.9
"453.1",0.656438233516195,0.0132849375847492,0,356,644,0.9
"453.2",0.656438233516195,0.0132849375847492,1,348,651,0.9
"189.1",0.653203088506667,0.0088626233182075,3,349,648,0.9
"202",0.679003909878221,0.0121204734782694,0,333,667,0.9
"137.1",0.668914424183596,0.0113576097738366,0,337,663,0.9
"334.1",0.69085048414382,0.00788101603469189,7,315,678,0.9
"111",0.659419341394976,0.0112860261690869,2,333,665,0.9
"371",0.681049272903859,0.010204071869268,4,307,689,0.9
"453.3",0.656438233516195,0.0132849375847492,0,337,663,0.9
"381",0.671708520495229,0.00878892327972134,2,341,657,0.9
"155.1",0.675605637094861,0.00547908717505663,19,317,664,0.9
"272",0.643133398719511,0.00957027070658682,2,351,647,0.9
"164.1",0.663278928928669,0.0100908744419619,3,333,664,0.9
"409.2",0.651166749365965,0.0113306975137786,1,363,636,0.9
"221",0.666793968730172,0.010144586567623,3,315,682,0.9
"158",0.660180896677265,0.0104285434776344,4,331,665,0.9
"438",0.683131012248059,0.0106897141756351,2,296,702,0.9
"344",0.659335047673824,0.00942386663256434,1,341,658,0.9
"60.1",0.657641451094763,0.0111829053615175,2,324,674,0.9
"285",0.671071756649892,0.0100649006323415,0,320,680,0.9
"103",0.654409942924286,0.010514555096768,1,352,647,0.9
"151",0.654878673128789,0.0109279431535309,0,320,680,0.9
"440.1",0.654252625260941,0.00849093419920087,5,301,694,0.9
"49",0.669059444651314,0.0135124247575211,1,349,650,0.9
"104",0.674917039167871,0.0121052707631481,0,337,663,0.9
"302.1",0.670292490382665,0.0120484070677646,1,310,689,0.9
"10",0.660607992127686,0.00860236342462335,4,287,709,0.9
"173",0.669710521137832,0.00857124002443758,3,354,643,0.9
"265",0.674532966699174,0.00542742159598802,16,303,681,0.9
"170",0.658535819009448,0.0109181664241262,1,329,670,0.9
"331",0.667524110087034,0.0108867380881421,1,345,654,0.9
"276",0.679195511111169,0.00933594557962545,2,315,683,0.9
"366.2",0.674180667228986,0.00772357900954888,5,329,666,0.9
"349",0.693290458439985,0.0100554795539513,4,296,700,0.9
"160.1",0.688859174847373,0.0113179442302842,1,333,666,0.9
"226.1",0.676508245155819,0.0104109937543244,2,301,697,0.9
"468.1",0.654099869212556,0.0131964137042475,0,355,645,0.9
"237.2",0.679022418645666,0.0119419758884647,0,335,665,0.9
"379",0.665495261862387,0.0137078466207888,0,320,680,0.9
"442.1",0.672052824934053,0.0120437901143776,2,316,682,0.9
"206.1",0.681063535554195,0.0109108702882438,0,317,683,0.9
"374",0.671841798209414,0.00899606549930971,0,327,673,0.9
"141",0.658497218747568,0.0108243216556128,1,331,668,0.9
