"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"341",0.440909995285065,0.0106343467372158,3,537,460,0.2
"128",0.435837674864126,0.0113737401203965,0,548,452,0.2
"52",0.417239386625295,0.0108337880934984,4,579,417,0.2
"384.1",0.445771612516398,0.0117531745657822,4,560,436,0.2
"456",0.450649392938888,0.00927004506443968,5,538,457,0.2
"464",0.449685147285312,0.0103149730633316,0,542,458,0.2
"126",0.434252654617634,0.0111143702538173,2,561,437,0.2
"48",0.425403955748153,0.0116357483883598,0,565,435,0.2
"171.1",0.437373896690227,0.0109874369271923,1,552,447,0.2
"236",0.432275520288776,0.0115821078803217,1,550,449,0.2
"425",0.449306239780635,0.011989320395453,2,559,439,0.2
"444.1",0.438589274914437,0.0106548180171796,0,589,411,0.2
"440",0.435392013434666,0.0100526071738765,9,560,431,0.2
"178",0.417279114399044,0.0107406022206041,3,594,403,0.2
"92",0.438973766338847,0.0111718478983261,1,568,431,0.2
"71",0.458767145055942,0.010582879034076,3,554,443,0.2
"142",0.429480482854904,0.0102356973581851,2,573,425,0.2
"142.1",0.429480482854904,0.0102356973581851,2,557,441,0.2
"151",0.432223658325466,0.00980022215671539,5,547,448,0.2
"411.1",0.467467890737392,0.00965996121120436,1,521,478,0.2
"82",0.454196179488966,0.00960834805726458,4,528,468,0.2
"326",0.448385983993726,0.00904157930538826,3,563,434,0.2
"351",0.456049287566653,0.012922647986156,1,539,460,0.2
"15",0.435503272644051,0.0103931289698744,3,537,460,0.2
"232",0.455025117928773,0.0110728650197622,3,542,455,0.2
"69.2",0.441089617881035,0.0107397152499433,2,559,439,0.2
"128.1",0.435837674864126,0.0113737401203965,3,554,443,0.2
"28",0.428176108506833,0.0112395189633564,1,548,451,0.2
"99",0.443342120147201,0.0110588936810761,1,544,455,0.2
"165.1",0.456339456220104,0.010408206125886,2,546,452,0.2
"90",0.449874285036092,0.0108141834572791,2,554,444,0.2
"64",0.44926444888618,0.0115009022574856,2,545,453,0.2
"148",0.440904881774706,0.010265272887053,7,573,420,0.2
"77",0.440704042916408,0.0108799405155775,4,550,446,0.2
"187.1",0.433404364287754,0.00981675118978546,6,566,428,0.2
"370",0.448473975171837,0.01103635289503,2,561,437,0.2
"283",0.434697097904462,0.0102448319618587,1,555,444,0.2
"208",0.436731100522517,0.0118710783254019,3,580,417,0.2
"216",0.435775836392243,0.0102481882962911,1,539,460,0.2
"301",0.483227666679201,0.0103895641884031,3,475,522,0.2
"262.1",0.432849531270143,0.0114284899109143,0,576,424,0.2
"404",0.450677642225561,0.00892257458879086,7,532,461,0.2
"257.1",0.444376087503979,0.0107659445664959,5,519,476,0.2
"122",0.44031645230288,0.00951034059496971,5,547,448,0.2
"367",0.438168975500115,0.0093455843559438,7,572,421,0.2
"352",0.460118606368851,0.0128352178665202,0,534,466,0.2
"437",0.416373834547991,0.0106760195477202,3,593,404,0.2
"13",0.45904124036204,0.0124008048047917,0,530,470,0.2
"9.1",0.451078470321404,0.0104133219698653,5,529,466,0.2
"162.1",0.427316984117731,0.0101324569707175,3,567,430,0.2
"358",0.451184527060418,0.00999923960434929,4,536,460,0.2
"441",0.432097054134493,0.0108029345184694,1,586,413,0.2
"263.1",0.453292625745763,0.010304306414479,2,551,447,0.2
"370.1",0.448473975171837,0.01103635289503,1,545,454,0.2
"100",0.434613672484902,0.010748072689556,4,552,444,0.2
"8",0.451492640190675,0.0107255777462922,5,550,445,0.2
"92.1",0.438973766338847,0.0111718478983261,0,592,408,0.2
"31",0.447404646669184,0.0110385673005123,3,536,461,0.2
"344",0.454209538506349,0.0110265942114057,2,562,436,0.2
"428.1",0.446414542730462,0.0119515252912029,1,556,443,0.2
"300.1",0.451363309465318,0.00994095657491745,1,545,454,0.2
"194.1",0.449231779728409,0.0110426224928294,5,556,439,0.2
"424",0.46213039437203,0.0113898414859592,2,530,468,0.2
"460",0.430492789703668,0.00983899326720956,2,559,439,0.2
"403",0.447299534746366,0.0112660019734396,1,563,436,0.2
"55",0.456035393078167,0.0108375523165344,4,533,463,0.2
"299",0.448414236943552,0.0123634141192614,1,567,432,0.2
"319",0.455354914723325,0.0105096638299458,2,548,450,0.2
"307",0.450180496399208,0.0105031273338761,6,547,447,0.2
"224",0.453577584524467,0.00982501560765889,6,535,459,0.2
"312",0.437185137212855,0.0118744149854958,1,575,424,0.2
"272",0.455970809648582,0.010731726104615,3,543,454,0.2
"189",0.456467873271535,0.0111342454175931,1,537,462,0.2
"363",0.476394175871115,0.0116765618767293,0,539,461,0.2
"344.1",0.454209538506349,0.0110265942114057,3,551,446,0.2
"349",0.439270683915672,0.0111414648548662,1,559,440,0.2
"243",0.430686507208037,0.0108026424785623,0,542,458,0.2
"263.2",0.453292625745763,0.010304306414479,1,565,434,0.2
"408",0.461170884844758,0.0106302457515423,4,550,446,0.2
"358.1",0.451184527060418,0.00999923960434929,6,592,402,0.2
"367.1",0.438168975500115,0.0093455843559438,3,566,431,0.2
"120",0.45311969186562,0.0113617852427631,1,540,459,0.2
"64.1",0.44926444888618,0.0115009022574856,4,534,462,0.2
"79",0.474428160433276,0.0108841122479431,4,557,439,0.2
"146",0.450976393710334,0.0113962407241485,2,551,447,0.2
"166",0.435967032908602,0.0100825247650576,2,581,417,0.2
"452",0.456096911685534,0.0103561853481044,0,538,462,0.2
"350",0.452234695148017,0.0109939700111895,0,537,463,0.2
"511",0.455907731854027,0.012494158728793,1,533,466,0.2
"470",0.43309753081132,0.0107883457302054,2,593,405,0.2
"428.2",0.446414542730462,0.0119515252912029,3,581,416,0.2
"416",0.449788535216842,0.0108450762274411,4,550,446,0.2
"192.1",0.443923614428322,0.01180682965195,1,583,416,0.2
"347",0.460589897266947,0.010754541097349,2,558,440,0.2
"284.1",0.444091550896365,0.0111145477685392,2,540,458,0.2
"372",0.452739845054497,0.0112046859069543,1,560,439,0.2
"13.1",0.45904124036204,0.0124008048047917,1,515,484,0.2
"424.1",0.46213039437203,0.0113898414859592,2,523,475,0.2
"303",0.440818975293553,0.011288451386838,2,587,411,0.2
"247",0.431908200395781,0.0135866394638153,0,581,419,0.2
"379",0.446402813050682,0.0102703097431122,3,549,448,0.2
"313",0.441960858263984,0.0113433595218529,1,564,435,0.2
"80",0.467713253828329,0.010449126183031,3,523,474,0.2
"417",0.473280008369771,0.009975647521159,2,538,460,0.2
"346.2",0.455016507072351,0.0107307222020565,1,554,445,0.2
"411.2",0.467467890737392,0.00965996121120436,2,527,471,0.2
"433",0.422730258445234,0.0107339207550252,2,563,435,0.2
"175",0.447766993918151,0.011161475106341,2,559,439,0.2
"317",0.408212843871926,0.010468155039179,3,592,405,0.2
"358.2",0.451184527060418,0.00999923960434929,3,538,459,0.2
"358.3",0.451184527060418,0.00999923960434929,4,526,470,0.2
"93",0.41955112051219,0.0114903022339569,0,564,436,0.2
