"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"392",0.51168970355717,0.00083998417985931,340,168,492,0.9
"61",0.518553088078479,0.00120779416906995,271,235,494,0.9
"414.1",0.486821248951373,0.000979183982120629,300,218,482,0.9
"71.1",0.506738765083341,0.00100043741718111,315,169,516,0.9
"3.1",0.501355877599276,0.000824514387871934,340,191,469,0.9
"13.1",0.514019630474436,0.00166486845487113,202,284,514,0.9
"411",0.51235494992942,0.00106328245711855,255,204,541,0.9
"296",0.490727993066384,0.000773712008784928,326,172,502,0.9
"223",0.52514051208824,0.00109252746284304,262,202,536,0.9
"282.1",0.506982813443663,0.000859683139829155,326,191,483,0.9
"76.1",0.50489867771583,0.00118225864295015,267,220,513,0.9
"109",0.504169167639105,0.00122979229263638,275,232,493,0.9
"121",0.514520763630169,0.00100716622698219,268,206,526,0.9
"354",0.486461357137576,0.00153302190197947,253,256,491,0.9
"362",0.497490542623497,0.00102276143196472,294,218,488,0.9
"115",0.47111923834171,0.000955576523326144,337,196,467,0.9
"12",0.50996044419195,0.00114003170442375,291,236,473,0.9
"337.1",0.517667895782915,0.0010481701305878,285,185,530,0.9
"345",0.509764933849984,0.00100906367125826,284,187,529,0.9
"15",0.490404189529111,0.0011648006785133,296,230,474,0.9
"97",0.503329221436863,0.0012852656539037,274,233,493,0.9
"58",0.509545689718268,0.000954267487014135,294,184,522,0.9
"209",0.516869552833572,0.000833748022427892,308,169,523,0.9
"98",0.511079607814436,0.000948353903649666,298,176,526,0.9
"128",0.526426060265662,0.00118660509093454,271,205,524,0.9
"94",0.490056599003996,0.00108702103074515,291,213,496,0.9
"87",0.509539740850889,0.00110001546214906,271,231,498,0.9
"170",0.486516670554682,0.00118226171018066,280,243,477,0.9
"421",0.50692242597669,0.00134184599905615,245,266,489,0.9
"164",0.51811490678903,0.00113545758020783,265,213,522,0.9
"301",0.475315578994151,0.00137644362852567,274,254,472,0.9
"215",0.502910960158302,0.00103317490979862,279,231,490,0.9
"415",0.49801290088803,0.000945344870836817,301,201,498,0.9
"241.1",0.514181920684801,0.00124536650305949,255,222,523,0.9
"130.1",0.50923676470566,0.00128259868613718,268,258,474,0.9
"341",0.506668468818223,0.0011259959696713,267,242,491,0.9
"118",0.518767713097626,0.00101011059734621,255,211,534,0.9
"240.1",0.526023029357867,0.00100771308295859,291,195,514,0.9
"347",0.524546355827068,0.00189515161523571,164,283,553,0.9
"85",0.512257899611039,0.00108566934073233,289,206,505,0.9
"399",0.494357314406438,0.000753132905935677,338,150,512,0.9
"37",0.515160846888498,0.00135252191811607,252,223,525,0.9
"225.1",0.532796030024076,0.000906084002195276,292,164,544,0.9
"282.2",0.506982813443663,0.000859683139829155,325,163,512,0.9
"316",0.511304086808714,0.00150441779035593,240,246,514,0.9
"28",0.512251162948996,0.00109982593038188,261,225,514,0.9
