X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
400060,0.203125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
400061,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400062,0.05859375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400063,0.14453125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,1,Euploid,Mosaic,Mosaic Aneuploid
400064,0.18359375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,2,3,Mosaic,Mosaic,Mosaic Aneuploid
400065,0.1328125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400066,0.078125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400067,0.28125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,2,Euploid,Mosaic,Mosaic Aneuploid
400068,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400069,0.17578125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,1,Euploid,Mosaic,Mosaic Aneuploid
400070,0.1875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,2,Euploid,Mosaic,Mosaic Aneuploid
400071,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400072,0.0546875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400073,0.109375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,2,Euploid,Mosaic,Mosaic Aneuploid
400074,0.125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,2,1,Mosaic,Mosaic,Mosaic Aneuploid
400075,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400076,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400077,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400078,0.1171875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,0,Mosaic,Euploid,Mosaic Aneuploid
400079,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400080,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400081,0.1796875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,2,3,Mosaic,Mosaic,Mosaic Aneuploid
400082,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400083,0.1015625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,2,Euploid,Mosaic,Mosaic Aneuploid
