"","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid","NA"
"68",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"69",0.0390625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"70",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"71",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"72",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"73",0.07421875,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"74",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"75",0.0390625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"76",0,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"77",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"78",0.0390625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"79",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"80",0.578125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"81",0.0625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"82",0.00390625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"83",0.00390625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"84",0.015625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"85",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"86",0.0390625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"87",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"88",0,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"89",0.0390625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"90",0.5078125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"91",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"92",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"93",0.0078125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"94",0.04296875,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"95",0.01953125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"96",0.265625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"97",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"98",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"99",0.0625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"100",0.0703125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"101",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
