     prop.aneu    prob.meio    prob.mito    dispersal euploid mosaic aneuploid
138  0.9999609 0.1397676899 7.111030e-01 4.820793e-01    0.00   0.00      1.00
139  1.0000000 0.7631427730 7.406526e-01 1.179265e-02    0.00   0.00      1.00
140  1.0000000 0.6356913871 7.052252e-01 6.509882e-01    0.00   0.00      1.00
141  1.0000000 0.1430616479 9.620566e-01 8.176368e-01    0.00   0.00      1.00
142  0.8188281 0.0128976547 1.949272e-01 7.423984e-01    0.00   0.59      0.41
143  0.8716797 0.6887944972 8.704670e-02 3.598776e-01    0.01   0.26      0.73
144  1.0000000 0.8975245478 6.578137e-01 3.034033e-01    0.00   0.00      1.00
145  0.9991797 0.7856661458 5.538260e-01 9.903274e-01    0.00   0.00      1.00
146  0.9995312 0.9230101814 4.057049e-01 2.920666e-01    0.00   0.01      0.99
147  0.8487109 0.7433297327 6.863986e-02 8.844810e-01    0.01   0.24      0.75
148  0.9768359 0.0209859412 3.706830e-01 5.167046e-01    0.00   0.16      0.84
149  0.8744922 0.3257084964 1.916374e-01 3.718621e-01    0.00   0.42      0.58
150  1.0000000 0.0002852611 8.711767e-01 4.087512e-01    0.00   0.00      1.00
151  1.0000000 0.2115693227 8.828400e-01 4.626604e-01    0.00   0.00      1.00
152  0.7841797 0.6417552666 8.387449e-02 8.639656e-02    0.10   0.26      0.64
153  0.5476953 0.4373301363 5.250272e-02 5.606679e-01    0.16   0.48      0.36
154  0.8520703 0.2719660110 1.777388e-01 3.847337e-01    0.00   0.40      0.60
155  1.0000000 0.3386445104 8.937892e-01 8.662028e-01    0.00   0.00      1.00
156  0.9966406 0.0172062335 4.868500e-01 1.008375e-01    0.00   0.02      0.98
157  0.9945312 0.1314363163 4.720074e-01 8.080911e-02    0.00   0.05      0.95
158  0.9989844 0.4077976730 5.775423e-01 5.273269e-01    0.00   0.00      1.00
159  1.0000000 0.0690970428 8.879681e-01 8.922894e-01    0.00   0.00      1.00
160  0.9987109 0.8734268087 4.423392e-01 3.367830e-01    0.00   0.01      0.99
161  0.9532031 0.5593288196 2.442084e-01 5.292339e-01    0.00   0.19      0.81
162  0.9996875 0.6487545180 5.961792e-01 1.784011e-01    0.00   0.00      1.00
163  1.0000000 0.6597932500 9.611353e-01 7.269838e-01    0.00   0.00      1.00
164  1.0000000 0.0928467338 9.746537e-01 6.963854e-01    0.00   0.00      1.00
165  1.0000000 0.0380832972 7.978604e-01 9.808020e-01    0.00   0.00      1.00
166  0.9862500 0.1974271990 4.010717e-01 7.712615e-01    0.00   0.06      0.94
167  0.9872656 0.7159772210 3.091428e-01 8.715337e-02    0.00   0.06      0.94
168  0.9626562 0.8834951264 1.213179e-01 6.918946e-01    0.00   0.08      0.92
169  0.9998047 0.9628240606 5.605159e-01 2.412672e-01    0.00   0.00      1.00
170  0.9017188 0.9365060241 2.467954e-02 7.266197e-01    0.02   0.10      0.88
