        prop.aneu   prob.meio    prob.mito   dispersal euploid mosaic aneuploid
163  1.0000000000 0.010545776 9.401938e-01 0.830744294    0.00   0.00      1.00
164  1.0000000000 0.596998608 9.587620e-01 0.243020364    0.00   0.00      1.00
165  0.9487500000 0.235487458 2.860939e-01 0.223413344    0.00   0.18      0.82
166  1.0000000000 0.589134901 7.177264e-01 0.361288360    0.00   0.00      1.00
167  0.9955468750 0.467976263 4.307472e-01 0.682522203    0.00   0.00      1.00
168  0.9975781250 0.811400054 3.999523e-01 0.196339700    0.00   0.02      0.98
169  0.8718359375 0.110473094 2.151503e-01 0.806950598    0.00   0.40      0.60
170  0.9922656250 0.110917112 4.412387e-01 0.079015373    0.00   0.05      0.95
171  0.9999609375 0.878127054 5.524630e-01 0.168799047    0.00   0.00      1.00
172  0.9983593750 0.540416074 5.050216e-01 0.464913512    0.00   0.01      0.99
173  1.0000000000 0.675834031 8.682067e-01 0.624288151    0.00   0.00      1.00
174  1.0000000000 0.706487303 8.282690e-01 0.537208736    0.00   0.00      1.00
175  1.0000000000 0.073126772 8.747777e-01 0.593178632    0.00   0.00      1.00
176  0.4528125000 0.216640926 3.537030e-02 0.223530434    0.25   0.49      0.26
177  0.9922656250 0.301721802 4.046293e-01 0.989430810    0.00   0.06      0.94
178  1.0000000000 0.696243914 6.774436e-01 0.039686888    0.00   0.00      1.00
179  0.9681640625 0.940443356 9.389194e-02 0.304648152    0.00   0.06      0.94
180  1.0000000000 0.965258524 8.660667e-01 0.469455672    0.00   0.00      1.00
181  1.0000000000 0.775705558 9.531510e-01 0.458619229    0.00   0.00      1.00
182  0.9966015625 0.594532456 4.347378e-01 0.638379055    0.00   0.02      0.98
183  0.9631250000 0.496084368 2.728548e-01 0.623877407    0.00   0.15      0.85
184  1.0000000000 0.677340050 6.508340e-01 0.735182204    0.00   0.00      1.00
185  1.0000000000 0.670031122 7.385793e-01 0.103398625    0.00   0.00      1.00
186  0.9996875000 0.871887197 5.370939e-01 0.601317704    0.00   0.00      1.00
187  0.6605468750 0.358548642 5.704698e-02 0.632485105    0.10   0.43      0.47
188  0.9987500000 0.031764496 5.626490e-01 0.304283161    0.00   0.01      0.99
189  1.0000000000 0.565482481 9.592900e-01 0.732627872    0.00   0.00      1.00
190  0.9994921875 0.250980702 6.086903e-01 0.048734017    0.00   0.01      0.99
191  0.9932421875 0.136531771 4.580040e-01 0.806986337    0.00   0.02      0.98
192  0.9961328125 0.536465739 4.554780e-01 0.420717716    0.00   0.01      0.99
193  1.0000000000 0.488050798 7.101353e-01 0.688605321    0.00   0.00      1.00
194  0.5626953125 0.049904326 9.498344e-02 0.274310874    0.06   0.83      0.11
195  1.0000000000 0.341459617 7.891287e-01 0.834188436    0.00   0.00      1.00
196  0.8942968750 0.824676721 3.416323e-02 0.017696614    0.09   0.04      0.87
197  1.0000000000 0.555729920 9.268855e-01 0.639788422    0.00   0.00      1.00
198  0.9635546875 0.040570641 3.218798e-01 0.668304325    0.00   0.12      0.88
199  0.8215234375 0.284554651 1.667564e-01 0.961930205    0.00   0.49      0.51
200  0.8989843750 0.338358398 2.113251e-01 0.993372752    0.00   0.35      0.65
