     prop.aneu    prob.meio   prob.mito   dispersal euploid mosaic aneuploid
132  1.0000000 0.0744041568 0.711179720 0.448552278    0.00   0.00      1.00
133  0.9967969 0.4886672827 0.497046747 0.637915712    0.00   0.01      0.99
134  0.9937891 0.6917081857 0.379058840 0.757611006    0.00   0.01      0.99
135  0.6810938 0.2678263043 0.099152101 0.227891179    0.01   0.61      0.38
136  0.9781250 0.0564772722 0.385257222 0.468975452    0.00   0.11      0.89
137  0.9546484 0.0052214691 0.316331832 0.744521709    0.00   0.21      0.79
138  0.9977344 0.2117598399 0.549890096 0.400830356    0.00   0.02      0.98
139  0.4348437 0.2814851063 0.031361331 0.761455098    0.27   0.45      0.28
140  0.9993359 0.4400855275 0.577497585 0.440847687    0.00   0.01      0.99
141  1.0000000 0.3896080737 0.719604994 0.992707386    0.00   0.00      1.00
142  0.8823828 0.0158036454 0.236086592 0.226666142    0.00   0.40      0.60
143  0.9297266 0.7438748304 0.155729581 0.817162842    0.00   0.18      0.82
144  0.9958594 0.8741997010 0.366125120 0.457157335    0.00   0.03      0.97
145  0.9998047 0.9574374892 0.547153006 0.441197816    0.00   0.01      0.99
146  0.9364453 0.0828179875 0.280843577 0.403997063    0.00   0.29      0.71
147  0.9293750 0.6355732675 0.195970908 0.969853556    0.00   0.24      0.76
148  0.9998438 0.7971412451 0.606548568 0.503394383    0.00   0.00      1.00
149  1.0000000 0.1080148928 0.815752943 0.333300306    0.00   0.00      1.00
150  0.7869922 0.6392474496 0.059001650 0.510005224    0.03   0.30      0.67
151  0.9984375 0.8983014075 0.410779207 0.263764084    0.00   0.01      0.99
152  1.0000000 0.2616426505 0.909361896 0.296333617    0.00   0.00      1.00
153  1.0000000 0.3835515685 0.948048834 0.811311282    0.00   0.00      1.00
154  0.9710547 0.6758334977 0.261128386 0.970809947    0.00   0.15      0.85
155  0.9397266 0.4031395142 0.252840189 0.798834122    0.00   0.18      0.82
156  0.9992188 0.0977813073 0.574008841 0.917983510    0.00   0.00      1.00
157  0.9937500 0.3272378647 0.443587543 0.676985235    0.00   0.02      0.98
158  1.0000000 0.5071854221 0.929313449 0.543981911    0.00   0.00      1.00
159  0.9973047 0.3493093029 0.510685148 0.622431765    0.00   0.00      1.00
160  0.9800000 0.4152826678 0.352425266 0.108614407    0.00   0.08      0.92
161  0.9245703 0.8419200457 0.118734823 0.493165184    0.00   0.18      0.82
162  0.8907812 0.8420932912 0.009620594 0.663436943    0.09   0.03      0.88
163  0.2497266 0.2572036549 0.001632818 0.072342878    0.74   0.02      0.24
164  1.0000000 0.3450628200 0.857268718 0.891588333    0.00   0.00      1.00
165  0.9999609 0.7084504506 0.614756774 0.357971718    0.00   0.00      1.00
166  1.0000000 0.2817898078 0.890739224 0.325804918    0.00   0.00      1.00
167  0.8608984 0.7847951264 0.061788334 0.181081502    0.03   0.20      0.77
168  0.9972656 0.4927320103 0.465419942 0.479608066    0.00   0.01      0.99
169  1.0000000 0.5279686628 0.820171915 0.021863167    0.00   0.00      1.00
170  1.0000000 0.7591375562 0.896491368 0.527591502    0.00   0.00      1.00
171  1.0000000 0.5731287096 0.872501336 0.341378749    0.00   0.00      1.00
172  0.8559766 0.1978839177 0.193630051 0.577041042    0.00   0.49      0.51
173  0.4012109 0.1845155118 0.037363898 0.492405024    0.28   0.49      0.23
174  0.9995703 0.6008752456 0.583998053 0.140550299    0.00   0.00      1.00
175  0.7991016 0.0831850984 0.174088506 0.174177904    0.01   0.59      0.40
176  0.9975781 0.6460756685 0.440589161 0.249569073    0.00   0.00      1.00
177  0.9975781 0.7503782653 0.408287014 0.502631385    0.00   0.01      0.99
178  0.9808203 0.9197118238 0.146824311 0.250700611    0.00   0.06      0.94
179  0.9990625 0.6103563977 0.529371204 0.111352396    0.00   0.00      1.00
180  1.0000000 0.4189197395 0.733582255 0.073721401    0.00   0.00      1.00
181  0.9999219 0.3725328937 0.674847445 0.359272577    0.00   0.00      1.00
182  0.8477734 0.3588209047 0.156144713 0.757322634    0.02   0.39      0.59
183  0.9052344 0.7626996846 0.077327720 0.511225324    0.00   0.21      0.79
184  0.9999219 0.8284954706 0.525562218 0.123778301    0.00   0.00      1.00
185  0.9575391 0.3179213458 0.301026022 0.606189234    0.00   0.18      0.82
186  0.9972266 0.7264248808 0.472021181 0.101602358    0.00   0.04      0.96
187  1.0000000 0.0108076930 0.928484924 0.483554476    0.00   0.00      1.00
188  1.0000000 0.8349127446 0.947084761 0.261933313    0.00   0.00      1.00
189  0.9984766 0.9690884245 0.193227863 0.838143919    0.00   0.00      1.00
190  0.9856641 0.1293280828 0.409113225 0.688826747    0.00   0.08      0.92
191  1.0000000 0.4664937744 0.894782941 0.322357869    0.00   0.00      1.00
192  0.9348047 0.7121807921 0.161092085 0.349730253    0.00   0.19      0.81
193  0.4480078 0.0442557535 0.059167068 0.713216685    0.07   0.81      0.12
194  0.9634375 0.0200742695 0.349471958 0.207363880    0.00   0.15      0.85
195  1.0000000 0.7751298386 0.954493831 0.059255682    0.00   0.00      1.00
196  0.8642578 0.6660884591 0.116556129 0.118191685    0.03   0.23      0.74
