     prop.aneu   prob.meio   prob.mito   dispersal euploid mosaic aneuploid
230  0.9985547 0.854872631 0.418597319 0.539792009    0.00   0.00      1.00
231  0.8938281 0.673942607 0.108683899 0.975846459    0.01   0.22      0.77
232  0.9182813 0.428921914 0.214752981 0.491519644    0.00   0.26      0.74
233  0.6207812 0.436024892 0.057999912 0.866760950    0.05   0.57      0.38
234  0.9996875 0.884318624 0.552613045 0.595092649    0.00   0.00      1.00
235  1.0000000 0.968011473 0.476037334 0.739420848    0.00   0.00      1.00
236  0.9999609 0.830572750 0.711402948 0.917622996    0.00   0.00      1.00
237  1.0000000 0.486642529 0.994573614 0.197701342    0.00   0.00      1.00
238  0.9760156 0.318950628 0.361944841 0.725062423    0.00   0.13      0.87
239  1.0000000 0.304853101 0.852716354 0.493277836    0.00   0.00      1.00
240  0.9999219 0.087218622 0.730147929 0.290431613    0.00   0.00      1.00
241  0.9639062 0.452837282 0.275328083 0.538447975    0.00   0.15      0.85
242  0.9964844 0.366272381 0.481788306 0.095718265    0.00   0.01      0.99
243  0.9980859 0.939187156 0.290433165 0.797708565    0.00   0.01      0.99
244  0.9980469 0.641959320 0.496664465 0.474963502    0.00   0.01      0.99
245  0.9933203 0.438171369 0.422555544 0.830036161    0.00   0.03      0.97
246  0.8894141 0.560041090 0.186488489 0.830552080    0.00   0.26      0.74
247  0.9703516 0.343228756 0.325872485 0.034056735    0.00   0.14      0.86
248  0.6089453 0.170283378 0.094342403 0.109022710    0.14   0.53      0.33
249  0.9999609 0.688835234 0.670500363 0.366029828    0.00   0.00      1.00
250  0.9722266 0.266388527 0.342050264 0.985159990    0.00   0.16      0.84
251  0.9999219 0.169047685 0.687894498 0.520067167    0.00   0.00      1.00
252  0.9998047 0.355466241 0.667817149 0.693166030    0.00   0.00      1.00
253  0.9581250 0.557267347 0.246611367 0.442717941    0.00   0.16      0.84
254  0.9215234 0.722586719 0.098357696 0.383294559    0.00   0.16      0.84
255  0.7297656 0.459940141 0.084768122 0.447360113    0.05   0.46      0.49
256  0.7453906 0.260910068 0.111320818 0.812593480    0.01   0.59      0.40
257  0.9947266 0.778237230 0.346528081 0.381028523    0.00   0.02      0.98
258  0.9758203 0.029727948 0.366024521 0.858924852    0.00   0.13      0.87
259  0.9997656 0.157397833 0.662105998 0.786344449    0.00   0.00      1.00
260  0.9783984 0.882046998 0.213022978 0.108754853    0.00   0.08      0.92
261  0.9982422 0.019025952 0.524245094 0.874907542    0.00   0.01      0.99
262  1.0000000 0.673122257 0.872190356 0.376878299    0.00   0.00      1.00
263  0.9706641 0.310746544 0.322087484 0.600201786    0.00   0.16      0.84
264  0.7930078 0.301713390 0.128595491 0.272968001    0.02   0.42      0.56
265  0.6079297 0.545193860 0.026002520 0.321134866    0.30   0.19      0.51
266  0.9348047 0.010086379 0.294692987 0.915756861    0.00   0.18      0.82
267  0.9996484 0.488947231 0.600100526 0.365912475    0.00   0.00      1.00
268  1.0000000 0.580563746 0.848191955 0.023643954    0.00   0.00      1.00
269  0.9183203 0.273930313 0.231801915 0.704826462    0.00   0.30      0.70
270  0.9998828 0.725880283 0.561035872 0.375339299    0.00   0.00      1.00
271  0.9551563 0.805655383 0.148390899 0.885334408    0.00   0.14      0.86
272  0.9998438 0.879260116 0.580333563 0.135667419    0.00   0.00      1.00
273  0.9881641 0.878661759 0.261221257 0.636805132    0.00   0.03      0.97
274  0.9383594 0.383502509 0.256098590 0.238739654    0.00   0.23      0.77
275  0.9048437 0.729124790 0.116356291 0.095671016    0.00   0.20      0.80
276  1.0000000 0.891822153 0.846555601 0.474799568    0.00   0.00      1.00
