     prop.aneu   prob.meio   prob.mito    dispersal euploid mosaic aneuploid
115  0.9901172 0.545196801 0.352674918 0.2995514239    0.00   0.09      0.91
116  0.9999609 0.831249237 0.675172147 0.5115637623    0.00   0.00      1.00
117  1.0000000 0.056425453 0.796067324 0.0198162426    0.00   0.00      1.00
118  0.9601563 0.448924028 0.268804860 0.5150701371    0.00   0.14      0.86
119  1.0000000 0.673972014 0.768963696 0.9090966589    0.00   0.00      1.00
120  0.8473047 0.176086315 0.190369863 0.6476455487    0.00   0.49      0.51
121  0.9820703 0.172783191 0.374655142 0.0453650956    0.00   0.07      0.93
122  0.9846094 0.404658105 0.374699353 0.3039478490    0.00   0.08      0.92
123  1.0000000 0.739345303 0.799701402 0.3741680663    0.00   0.00      1.00
124  1.0000000 0.351786241 0.918675210 0.3522037505    0.00   0.00      1.00
125  0.9960938 0.154395513 0.486843636 0.1312407637    0.00   0.02      0.98
126  0.9644141 0.907302486 0.094039683 0.6843730293    0.00   0.07      0.93
127  1.0000000 0.986667582 0.461389672 0.3351755433    0.00   0.00      1.00
128  1.0000000 0.513008841 0.902510042 0.1389071788    0.00   0.00      1.00
129  0.9941016 0.434276664 0.447674816 0.8962280233    0.00   0.03      0.97
130  0.9761328 0.822073962 0.211957562 0.4180416581    0.00   0.08      0.92
131  0.9998047 0.151365903 0.617025892 0.5933808305    0.00   0.00      1.00
132  1.0000000 0.107446469 0.906613756 0.7638685633    0.00   0.00      1.00
133  0.9943359 0.068463399 0.477282852 0.2374770152    0.00   0.03      0.97
134  0.8889063 0.830189361 0.091550253 0.0222151510    0.02   0.18      0.80
135  0.9874609 0.715831763 0.298322802 0.5455974706    0.00   0.06      0.94
136  1.0000000 0.932089781 0.867500265 0.3454204409    0.00   0.00      1.00
137  0.5059375 0.019118175 0.078292964 0.4043171415    0.02   0.85      0.13
138  0.9998828 0.157519986 0.689331472 0.1961721119    0.00   0.00      1.00
139  1.0000000 0.832486963 0.582749271 0.4931476796    0.00   0.00      1.00
140  0.9810156 0.075004162 0.386997042 0.1841528313    0.00   0.08      0.92
141  0.9991016 0.134610743 0.573087614 0.9809000492    0.00   0.00      1.00
142  0.9333984 0.226877741 0.260816880 0.9863307716    0.00   0.27      0.73
143  0.9239063 0.881605073 0.053804754 0.6227498304    0.00   0.12      0.88
144  0.9992969 0.805249076 0.505603699 0.8711893535    0.00   0.00      1.00
145  0.9999219 0.466149243 0.779627774 0.7901608471    0.00   0.00      1.00
146  1.0000000 0.869643296 0.982589648 0.4355946155    0.00   0.00      1.00
147  1.0000000 0.206571419 0.878587344 0.4076304175    0.00   0.00      1.00
148  0.9998047 0.951045367 0.307269063 0.1303346211    0.00   0.00      1.00
149  1.0000000 0.398233343 0.939599296 0.1525310122    0.00   0.00      1.00
150  0.9998438 0.666865767 0.663172013 0.1550788442    0.00   0.00      1.00
151  0.5770312 0.427888661 0.033719047 0.0145201022    0.35   0.20      0.45
152  0.9929297 0.064815908 0.472443477 0.8842976345    0.00   0.01      0.99
153  1.0000000 0.070384855 0.901524780 0.1903764971    0.00   0.00      1.00
154  1.0000000 0.466911063 0.812135609 0.2427051689    0.00   0.00      1.00
155  0.9724219 0.321451226 0.328945238 0.2860683999    0.00   0.06      0.94
156  0.8425781 0.839170553 0.002312489 0.6465290550    0.15   0.01      0.84
157  0.9877344 0.573011570 0.348698057 0.6474413725    0.00   0.04      0.96
158  0.9203125 0.470992473 0.200146895 0.6052577186    0.00   0.27      0.73
159  0.9617187 0.155672143 0.306892918 0.1467488816    0.00   0.24      0.76
160  0.9999609 0.381066162 0.691650843 0.8716772404    0.00   0.00      1.00
161  0.9961719 0.048804119 0.514952966 0.7387391217    0.00   0.01      0.99
162  0.9856250 0.020809167 0.415464810 0.3036323991    0.00   0.09      0.91
163  0.9521094 0.502410126 0.267236914 0.5523525795    0.00   0.20      0.80
164  0.9876563 0.468381741 0.392219023 0.5811740947    0.00   0.04      0.96
165  0.9968750 0.287132654 0.502536866 0.6943579749    0.00   0.01      0.99
166  0.9049219 0.384671280 0.211610507 0.5940166430    0.00   0.34      0.66
167  0.9971875 0.272360978 0.471568970 0.0769896512    0.00   0.00      1.00
168  0.9989453 0.154575468 0.569612770 0.2852708329    0.00   0.01      0.99
169  1.0000000 0.607705419 0.787412499 0.6319907280    0.00   0.00      1.00
