     prop.aneu    prob.meio    prob.mito   dispersal euploid mosaic aneuploid
200  0.9999219 0.4236718644 7.431714e-01 0.558863859    0.00   0.00      1.00
201  1.0000000 0.8994145545 6.533866e-01 0.467958797    0.00   0.00      1.00
202  0.6971094 0.2489580202 1.048594e-01 0.475460801    0.00   0.66      0.34
203  0.5143359 0.2664148281 6.245518e-02 0.471038864    0.08   0.68      0.24
204  0.8560937 0.2401559241 1.838044e-01 0.992094034    0.00   0.50      0.50
205  1.0000000 0.4954906115 8.093866e-01 0.843785582    0.00   0.00      1.00
206  1.0000000 0.7398509430 9.003480e-01 0.185973204    0.00   0.00      1.00
207  1.0000000 0.3067660844 9.915854e-01 0.602377007    0.00   0.00      1.00
208  1.0000000 0.0542242976 7.253618e-01 0.095743845    0.00   0.00      1.00
209  1.0000000 0.9033750265 9.928395e-01 0.411051847    0.00   0.00      1.00
210  0.8906250 0.8964669690 1.214892e-02 0.941152678    0.09   0.03      0.88
211  1.0000000 0.4816872152 8.279543e-01 0.945060489    0.00   0.00      1.00
212  0.9997266 0.7218820644 5.680167e-01 0.139850163    0.00   0.00      1.00
213  0.9669922 0.1601155784 3.210090e-01 0.578706877    0.00   0.13      0.87
214  0.7490234 0.4640697376 1.109292e-01 0.165246388    0.07   0.47      0.46
215  0.9475000 0.0060025593 3.052449e-01 0.079764541    0.00   0.16      0.84
216  0.9987500 0.3961215008 5.284625e-01 0.570163916    0.00   0.01      0.99
217  0.9641016 0.7331810102 2.158401e-01 0.205007428    0.00   0.19      0.81
218  0.9999609 0.2799082694 7.527851e-01 0.492477228    0.00   0.00      1.00
219  1.0000000 0.7263786756 7.697263e-01 0.351713657    0.00   0.00      1.00
220  0.9911719 0.9686621509 2.298760e-01 0.974728146    0.00   0.03      0.97
221  0.9999609 0.3280138539 8.050255e-01 0.104771610    0.00   0.00      1.00
222  0.7619531 0.3794780804 1.249791e-01 0.652349082    0.00   0.55      0.45
223  0.9997656 0.4487517562 6.608169e-01 0.534966207    0.00   0.00      1.00
224  0.9598828 0.9416064075 9.733217e-02 0.403095637    0.00   0.08      0.92
225  0.8879297 0.3684255313 1.955963e-01 0.203470091    0.00   0.36      0.64
226  1.0000000 0.0131172377 9.020151e-01 0.306731153    0.00   0.00      1.00
227  0.9707422 0.4698835944 3.047620e-01 0.748238500    0.00   0.10      0.90
228  1.0000000 0.1977122955 6.829477e-01 0.676529381    0.00   0.00      1.00
229  1.0000000 0.6848154520 8.097179e-01 0.781724178    0.00   0.00      1.00
230  1.0000000 0.8553288712 9.446587e-01 0.768643467    0.00   0.00      1.00
231  0.9978516 0.0196610389 5.523986e-01 0.928501433    0.00   0.01      0.99
232  0.9954297 0.5237530891 4.671808e-01 0.021836747    0.00   0.01      0.99
233  1.0000000 0.4116405947 8.301563e-01 0.568259164    0.00   0.00      1.00
234  0.9999609 0.2185955644 7.124752e-01 0.079394433    0.00   0.00      1.00
235  0.8089844 0.1911385618 1.684121e-01 0.977140765    0.00   0.57      0.43
236  1.0000000 0.1402683195 8.017871e-01 0.996387210    0.00   0.00      1.00
237  0.9989844 0.4808546349 5.460450e-01 0.694243412    0.00   0.01      0.99
238  0.9433594 0.9218467632 6.606754e-02 0.660722838    0.01   0.09      0.90
239  1.0000000 0.2645946250 9.074017e-01 0.140069882    0.00   0.00      1.00
240  0.8784375 0.5185261562 1.620147e-01 0.279482008    0.00   0.40      0.60
241  0.9998047 0.5123951663 6.775948e-01 0.664994407    0.00   0.00      1.00
242  0.9905078 0.8936678472 2.947935e-01 0.093433907    0.00   0.02      0.98
243  1.0000000 0.8577700180 8.566332e-01 0.318834584    0.00   0.00      1.00
244  0.9957812 0.9503746240 2.830942e-01 0.517054071    0.00   0.04      0.96
245  0.6306641 0.0863533893 1.000621e-01 0.060125786    0.14   0.60      0.26
246  0.6841016 0.5761067583 2.601614e-02 0.770712820    0.14   0.24      0.62
247  1.0000000 0.0648253481 7.102708e-01 0.991998637    0.00   0.00      1.00
248  0.9994922 0.3150275711 6.038245e-01 0.970068641    0.00   0.00      1.00
249  0.9992969 0.0780560195 5.665742e-01 0.109570165    0.00   0.01      0.99
250  1.0000000 0.0648858938 8.806957e-01 0.145447643    0.00   0.00      1.00
251  1.0000000 0.5971640456 9.708215e-01 0.202405305    0.00   0.00      1.00
252  0.9908594 0.6079040850 3.852928e-01 0.890092518    0.00   0.08      0.92
253  1.0000000 0.1213337763 9.126345e-01 0.120508574    0.00   0.00      1.00
254  1.0000000 0.0509885356 8.056481e-01 0.054587355    0.00   0.00      1.00
255  0.7926172 0.1081233830 1.619606e-01 0.046363527    0.03   0.56      0.41
256  1.0000000 0.9969710174 3.293025e-01 0.655422740    0.00   0.00      1.00
257  0.9517969 0.4684874257 2.539440e-01 0.405482660    0.00   0.18      0.82
258  0.7503906 0.6480426027 4.408627e-02 0.054881960    0.14   0.20      0.66
259  0.5460156 0.4322360558 3.375902e-02 0.970587649    0.11   0.50      0.39
260  0.9510937 0.4726454774 2.523491e-01 0.683169097    0.00   0.15      0.85
261  0.9923047 0.1009290966 4.632614e-01 0.169921426    0.00   0.04      0.96
262  0.5108984 0.1538986729 7.233852e-02 0.145346310    0.15   0.70      0.15
263  0.9999609 0.0459181753 7.566592e-01 0.070318680    0.00   0.00      1.00
264  0.9594531 0.6346949034 2.695143e-01 0.996633292    0.00   0.14      0.86
265  1.0000000 0.3924687696 7.761122e-01 0.555196537    0.00   0.00      1.00
266  0.9980078 0.0792182798 5.149698e-01 0.340386730    0.00   0.01      0.99
267  1.0000000 0.9668913707 7.642392e-01 0.146161514    0.00   0.00      1.00
268  0.9970703 0.3137216861 4.829107e-01 0.184329344    0.00   0.01      0.99
269  0.9839062 0.6958912015 2.915672e-01 0.378944564    0.00   0.05      0.95
270  1.0000000 0.5805796701 9.491684e-01 0.560904003    0.00   0.00      1.00
271  0.9881250 0.1532773881 4.087610e-01 0.487918010    0.00   0.07      0.93
272  0.9235937 0.3438770245 2.514821e-01 0.059795246    0.00   0.23      0.77
273  0.9996484 0.1672762686 6.709393e-01 0.139852337    0.00   0.01      0.99
274  0.4680469 0.3630643263 4.762769e-02 0.206153630    0.27   0.46      0.27
275  0.9996094 0.0759562305 6.336755e-01 0.317739107    0.00   0.00      1.00
276  0.9999609 0.8084560554 6.891675e-01 0.318495054    0.00   0.00      1.00
277  1.0000000 0.0405183702 6.536744e-01 0.521833286    0.00   0.00      1.00
278  0.7198828 0.2374496097 1.297369e-01 0.320332759    0.00   0.68      0.32
279  1.0000000 0.8906480265 7.971553e-01 0.546828578    0.00   0.00      1.00
280  1.0000000 0.4307427225 6.982621e-01 0.005711794    0.00   0.00      1.00
281  0.8533203 0.6267880963 1.071569e-01 0.250663718    0.01   0.29      0.70
282  0.8078516 0.3689145923 1.574608e-01 0.909351005    0.00   0.49      0.51
283  0.9604687 0.2352786036 3.188970e-01 0.134726641    0.00   0.14      0.86
284  0.8817578 0.0730497979 2.188608e-01 0.738589818    0.00   0.42      0.58
285  0.9995312 0.1293170634 6.148011e-01 0.346694420    0.00   0.00      1.00
286  1.0000000 0.8893069800 6.386558e-01 0.802011386    0.00   0.00      1.00
287  0.4948438 0.1944831361 5.276507e-02 0.433845188    0.17   0.60      0.23
288  0.9383984 0.0175237160 3.051209e-01 0.492102271    0.00   0.26      0.74
289  1.0000000 0.7455533051 8.670450e-01 0.981456971    0.00   0.00      1.00
290  0.9867969 0.7232197516 3.003629e-01 0.377969503    0.00   0.05      0.95
291  0.9800391 0.5683114207 3.350656e-01 0.983672902    0.00   0.11      0.89
292  0.5794141 0.4935974935 2.315872e-02 0.108238495    0.31   0.18      0.51
293  0.9973047 0.2033820562 5.195004e-01 0.162488607    0.00   0.01      0.99
294  0.9998438 0.5882329987 5.635094e-01 0.718431575    0.00   0.00      1.00
295  1.0000000 0.0012943880 8.508578e-01 0.854026102    0.00   0.00      1.00
296  0.9981250 0.5265041622 4.837072e-01 0.601469849    0.00   0.00      1.00
297  0.9303125 0.8304549316 1.188829e-01 0.662654752    0.00   0.16      0.84
298  0.8785547 0.0489019563 2.226892e-01 0.993238750    0.00   0.40      0.60
299  0.9998047 0.1638442657 7.218231e-01 0.035996158    0.00   0.00      1.00
300  0.9996484 0.5745649829 5.686738e-01 0.624811312    0.00   0.01      0.99
301  1.0000000 0.3876365440 8.190856e-01 0.289329679    0.00   0.00      1.00
302  0.9989453 0.9565301884 1.678122e-01 0.622713133    0.00   0.00      1.00
303  1.0000000 0.1411074547 8.568336e-01 0.465601834    0.00   0.00      1.00
304  0.9994531 0.1943978451 5.959345e-01 0.619152077    0.00   0.00      1.00
305  0.9563672 0.4976458913 2.901917e-01 0.328735417    0.00   0.20      0.80
306  0.9995703 0.6846511331 6.293960e-01 0.060596260    0.00   0.00      1.00
307  1.0000000 0.9706455655 9.905206e-01 0.236909970    0.00   0.00      1.00
308  1.0000000 0.0602277971 8.058721e-01 0.450673346    0.00   0.00      1.00
309  0.9326562 0.6205140224 2.061775e-01 0.793329392    0.00   0.23      0.77
310  0.9987109 0.4366683438 5.386773e-01 0.673004384    0.00   0.02      0.98
311  1.0000000 0.3876646475 8.847085e-01 0.065436634    0.00   0.00      1.00
312  1.0000000 0.3398102953 9.954985e-01 0.720372317    0.00   0.00      1.00
313  0.9999219 0.9599216233 3.665704e-01 0.076066619    0.00   0.00      1.00
314  0.9028906 0.7638569826 7.993051e-02 0.468520861    0.02   0.18      0.80
315  0.9869922 0.1807371636 4.412829e-01 0.592164947    0.00   0.05      0.95
316  1.0000000 0.3821864263 8.549035e-01 0.088630115    0.00   0.00      1.00
317  1.0000000 0.0029399947 8.008217e-01 0.599597205    0.00   0.00      1.00
318  1.0000000 0.3707779071 7.440216e-01 0.964959137    0.00   0.00      1.00
319  0.9939062 0.0399291383 4.560114e-01 0.293863948    0.00   0.04      0.96
320  0.9959766 0.8715822184 3.767929e-01 0.925123688    0.00   0.02      0.98
321  1.0000000 0.5466660967 8.283862e-01 0.133391834    0.00   0.00      1.00
322  0.9981250 0.4400336177 4.929953e-01 0.675151228    0.00   0.00      1.00
323  0.9529297 0.3648961412 2.923655e-01 0.469689153    0.00   0.18      0.82
324  1.0000000 0.1884551239 9.613506e-01 0.550910201    0.00   0.00      1.00
325  1.0000000 0.9661736782 7.232830e-01 0.213689607    0.00   0.00      1.00
326  0.6050781 0.3485693408 4.075587e-02 0.966541504    0.14   0.42      0.44
327  0.9483203 0.8286425273 1.491030e-01 0.308822232    0.00   0.15      0.85
328  0.9144531 0.1419474685 2.611311e-01 0.786480626    0.00   0.24      0.76
329  0.6671875 0.1049043932 1.137877e-01 0.713338613    0.01   0.72      0.27
330  0.9951953 0.9549221245 2.644727e-01 0.971651188    0.00   0.00      1.00
331  1.0000000 0.5540363935 9.047918e-01 0.982779966    0.00   0.00      1.00
332  0.9496094 0.7853518222 1.782891e-01 0.893310132    0.00   0.14      0.86
333  0.9715625 0.2448468190 3.315657e-01 0.406052152    0.00   0.14      0.86
334  0.9994922 0.3832673165 6.030752e-01 0.294875778    0.00   0.00      1.00
335  0.9975000 0.5251133996 4.826260e-01 0.946142434    0.00   0.01      0.99
336  0.9998438 0.7349210386 5.989096e-01 0.515050958    0.00   0.00      1.00
