     prop.aneu    prob.meio   prob.mito    dispersal euploid mosaic aneuploid
106  0.9516016 0.8752984875 0.112333145 0.3876207876    0.01   0.09      0.90
107  1.0000000 0.1493673604 0.771068129 0.5846935669    0.00   0.00      1.00
108  1.0000000 0.9077875158 0.789543967 0.5424110803    0.00   0.00      1.00
109  0.9985937 0.4644122857 0.485752374 0.5120455732    0.00   0.00      1.00
110  0.9883203 0.3382856098 0.385781986 0.3626919882    0.00   0.04      0.96
111  0.9995312 0.1705894198 0.612080079 0.7957196122    0.00   0.01      0.99
112  0.8328906 0.6722501144 0.087571856 0.5342616548    0.00   0.30      0.70
113  0.9992578 0.7348861983 0.437222493 0.0861240546    0.00   0.00      1.00
114  0.6007813 0.6077083549 0.010009921 0.3503160123    0.33   0.10      0.57
115  0.9999609 0.9030153120 0.571938475 0.3262838358    0.00   0.00      1.00
116  0.9994531 0.3317469831 0.623834116 0.5299128697    0.00   0.01      0.99
117  1.0000000 0.2371022359 0.877504281 0.0822604338    0.00   0.00      1.00
118  1.0000000 0.6961146831 0.938814864 0.1653152516    0.00   0.00      1.00
119  0.9054297 0.8200077913 0.086536893 0.9747553836    0.01   0.16      0.83
120  0.9755078 0.0912441297 0.353314830 0.1339779072    0.00   0.04      0.96
121  0.9869922 0.9250431187 0.215845428 0.3702615218    0.00   0.05      0.95
122  1.0000000 0.7229989285 0.987430115 0.3918819895    0.00   0.00      1.00
123  1.0000000 0.7394038336 0.904551057 0.9179846866    0.00   0.00      1.00
124  0.9992188 0.9254730076 0.431895896 0.6690104706    0.00   0.01      0.99
125  0.9876172 0.5851268065 0.346176159 0.8755740901    0.00   0.07      0.93
126  0.9410156 0.2102356921 0.270524387 0.0122853501    0.00   0.27      0.73
127  1.0000000 0.8574784582 0.661130627 0.1846511576    0.00   0.00      1.00
128  0.8253906 0.6869288969 0.051103819 0.9057520810    0.04   0.21      0.75
129  0.9625391 0.3716893846 0.291059682 0.2081946624    0.00   0.14      0.86
130  0.9948047 0.8839777980 0.330217539 0.1629762731    0.00   0.02      0.98
131  1.0000000 0.1195595013 0.929030128 0.9546841483    0.00   0.00      1.00
132  0.9962891 0.2882623675 0.451180674 0.9394924883    0.00   0.03      0.97
133  1.0000000 0.0467028192 0.798262178 0.1588447217    0.00   0.00      1.00
134  0.9990625 0.4540350686 0.531390761 0.4827616313    0.00   0.00      1.00
135  1.0000000 0.7552020189 0.707065131 0.6030229081    0.00   0.00      1.00
136  0.8849609 0.2237721446 0.219301327 0.5191780615    0.00   0.36      0.64
137  0.9868750 0.8039686941 0.298622741 0.5391584698    0.00   0.08      0.92
138  0.9317969 0.6259278534 0.150091916 0.5087460377    0.01   0.15      0.84
139  0.9999609 0.1876507383 0.696211659 0.7489478211    0.00   0.00      1.00
