"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"153",3,0.4701953,0.4536831,0.011725218,0.5,0.39,0.2,0.41
"154",4,0.5644922,0.5315257,0.027039852,0.5,0.23,0.32,0.45
"155",5,0.3748047,0.2635505,0.007858631,0.5,0.49,0.18,0.33
"156",6,0.4588672,0.325952,0.023501928,0.5,0.36,0.31,0.33
"157",7,0.5844922,0.5459319,0.010503127,0.5,0.35,0.1,0.55
"158",8,0.5053516,0.3994508,0.021892742,0.5,0.27,0.32,0.41
"159",9,0.4592188,0.4179122,0.002570279,0.5,0.52,0.03,0.45
"160",10,0.4404297,0.3700534,0.006174126,0.5,0.45,0.14,0.41
"161",1,0.6183984,0.5304291,0.029977876,0.5,0.18,0.29,0.53
"162",2,0.6198438,0.6298071,0.020952843,0.5,0.22,0.23,0.55
"163",3,0.5123828,0.4883409,0.013763299,0.5,0.38,0.16,0.46
"164",4,0.5952344,0.4926909,0.011451097,0.5,0.32,0.12,0.56
"165",5,0.4913281,0.5699402,0.009846052,0.5,0.47,0.08,0.45
"166",6,0.5280078,0.3793226,0.016269928,0.5,0.35,0.18,0.47
"167",7,0.5607422,0.451108,0.025633667,0.5,0.24,0.31,0.45
"168",8,0.4927734,0.5274734,0.01099019,0.5,0.4,0.15,0.45
"169",9,0.4463672,0.3000101,0.022039084,0.5,0.37,0.28,0.35
"170",10,0.4017969,0.3009304,0.01807522,0.5,0.43,0.27,0.3
"171",1,0.2979688,0.2541938,0.007256425,0.5,0.58,0.16,0.26
"172",2,0.6560938,0.6011762,0.029913457,0.5,0.17,0.28,0.55
"173",3,0.6084375,0.5982445,0.020997471,0.5,0.23,0.23,0.54
"174",4,0.3983594,0.270637,0.01941228,0.5,0.41,0.28,0.31
"175",5,0.6128906,0.5433232,0.015763181,0.5,0.29,0.15,0.56
"176",6,0.3264063,0.351623,0.010180917,0.5,0.56,0.16,0.28
"177",7,0.4047656,0.3495798,0.014419788,0.5,0.46,0.21,0.33
"178",8,0.5496484,0.3419423,0.026693785,0.5,0.24,0.33,0.43
"179",9,0.4832812,0.5255715,0.008992559,0.5,0.43,0.12,0.45
"180",10,0.5135156,0.3399756,0.025413602,0.5,0.26,0.35,0.39
"181",1,0.7459766,0.7073462,0.030279765,0.5,0.11,0.22,0.67
"182",2,0.6028516,0.5689329,0.017153827,0.5,0.27,0.18,0.55
"183",3,0.7282031,0.5249409,0.070009761,0.5,0.06,0.42,0.52
"184",4,0.6235937,0.5135148,0.033144149,0.5,0.19,0.3,0.51
"185",5,0.4021094,0.2513248,0.019965964,0.5,0.42,0.26,0.32
"186",6,0.6196094,0.5342556,0.026321464,0.5,0.2,0.26,0.54
"187",7,0.3248047,0.2976438,0.003255776,0.5,0.6,0.1,0.3
"188",8,0.7547656,0.6808158,0.051582558,0.5,0.08,0.26,0.66
"189",9,0.5192578,0.3942548,0.033475458,0.5,0.22,0.41,0.37
"190",10,0.6124219,0.4848009,0.041522137,0.5,0.16,0.38,0.46
"191",1,0.4120313,0.2456377,0.018092333,0.5,0.33,0.34,0.33
"192",2,0.6289062,0.4871582,0.036694522,0.5,0.21,0.3,0.49
"193",3,0.62875,0.5780777,0.039451291,0.5,0.22,0.26,0.52
"194",4,0.6060156,0.4687922,0.030022776,0.5,0.19,0.31,0.5
"195",5,0.5687891,0.6179933,0.015907543,0.5,0.31,0.19,0.5
"196",6,0.3632422,0.3050666,0.0183253,0.5,0.44,0.29,0.27
"197",7,0.5735156,0.4282705,0.024996636,0.5,0.22,0.3,0.48
"198",8,0.4487891,0.3805554,0.014473853,0.5,0.35,0.28,0.37
"199",9,0.2875,0.2151901,0.008914872,0.5,0.6,0.16,0.24
"200",10,0.68125,0.6450283,0.031479613,0.5,0.14,0.29,0.57
"201",1,0.5445313,0.4869974,0.01375722,0.5,0.33,0.17,0.5
"202",2,0.5339453,0.5882142,0.006915671,0.5,0.37,0.12,0.51
"203",3,0.4109375,0.335157,0.009121083,0.5,0.48,0.16,0.36
"204",4,0.6259766,0.5804743,0.028562676,0.5,0.18,0.28,0.54
"205",5,0.4767578,0.3024865,0.024973801,0.5,0.3,0.34,0.36
"206",6,0.5032031,0.4430217,0.01235941,0.5,0.37,0.18,0.45
"207",7,0.3856641,0.3724199,0.006609026,0.5,0.6,0.04,0.36
"208",8,0.6349609,0.5239074,0.027663291,0.5,0.2,0.26,0.54
"209",9,0.3749609,0.2264939,0.01184913,0.5,0.48,0.21,0.31
"210",10,0.4887109,0.4571887,0.002752072,0.5,0.48,0.04,0.48
"211",1,0.4488281,0.4180397,0.019116885,0.5,0.4,0.23,0.37
"212",2,0.3717969,0.3203173,0.008447208,0.5,0.53,0.14,0.33
"213",3,0.6841406,0.6360589,0.010810081,0.5,0.19,0.17,0.64
"214",4,0.5133984,0.5446579,0.005149302,0.5,0.44,0.07,0.49
"215",5,0.4738281,0.3854258,0.019459642,0.5,0.35,0.28,0.37
"216",6,0.3431641,0.3680346,0.002663059,0.5,0.6,0.07,0.33
"217",7,0.2863672,0.1772499,0.006918831,0.5,0.6,0.15,0.25
"218",8,0.7073047,0.6557796,0.044293356,0.5,0.13,0.29,0.58
"219",9,0.5534375,0.4636053,0.018676695,0.5,0.3,0.21,0.49
"220",10,0.5966016,0.4533683,0.031991318,0.5,0.21,0.31,0.48
"221",1,0.3368359,0.2523796,0.009225567,0.5,0.54,0.17,0.29
"222",2,0.5746094,0.4908117,0.027517375,0.5,0.26,0.28,0.46
"223",3,0.4970312,0.375396,0.002251294,0.5,0.45,0.06,0.49
"224",4,0.5308203,0.4232857,0.038384322,0.5,0.26,0.36,0.38
"225",5,0.5039062,0.4507324,0.025006701,0.5,0.28,0.33,0.39
"226",6,0.4303125,0.3604644,0.011491357,0.5,0.47,0.16,0.37
"227",7,0.4610156,0.3921095,0.019208372,0.5,0.32,0.3,0.38
"228",8,0.3775,0.3313335,0.009568526,0.5,0.5,0.16,0.34
"229",9,0.6867188,0.5684135,0.031118604,0.5,0.15,0.27,0.58
"230",10,0.6400391,0.4884452,0.03489321,0.5,0.17,0.31,0.52
"231",1,0.3382812,0.280958,0.006874237,0.5,0.59,0.11,0.3
"232",2,0.62625,0.60325,0.0251081828,0.5,0.2,0.27,0.53
"233",3,0.4390625,0.4171305,0.0013407904,0.5,0.55,0.02,0.43
"234",4,0.6352734,0.4609938,0.0391886593,0.5,0.14,0.36,0.5
"235",5,0.6084375,0.4979672,0.0357483744,0.5,0.15,0.37,0.48
"236",6,0.5674219,0.5758437,0.0144658892,0.5,0.35,0.12,0.53
"237",7,0.3611719,0.3991178,0.0005126731,0.5,0.64,0,0.36
"238",8,0.2846875,0.3502328,0.0067244803,0.5,0.63,0.12,0.25
"239",9,0.4813281,0.4486377,0.01263453,0.5,0.44,0.13,0.43
"240",10,0.3746875,0.2745835,0.0026856286,0.5,0.58,0.07,0.35
"241",1,0.6489844,0.6616131,0.01116608,0.5,0.28,0.11,0.61
"242",2,0.5311328,0.497041,0.019269753,0.5,0.35,0.2,0.45
"243",3,0.4314844,0.3321681,0.009637856,0.5,0.49,0.13,0.38
"244",4,0.4814062,0.394539,0.012341162,0.5,0.41,0.16,0.43
"245",5,0.6768359,0.6805659,0.011189154,0.5,0.27,0.08,0.65
"246",6,0.4778516,0.2871629,0.036248981,0.5,0.28,0.42,0.3
"247",7,0.475625,0.3707768,0.024976997,0.5,0.32,0.31,0.37
"248",8,0.3048047,0.329082,0.003158926,0.5,0.61,0.1,0.29
"249",9,0.6548437,0.6139316,0.01971516,0.5,0.26,0.13,0.61
"250",10,0.3788672,0.3008362,0.011883374,0.5,0.44,0.25,0.31
"251",1,0.3549219,0.2782462,0.019806309,0.5,0.45,0.29,0.26
"252",2,0.5503516,0.4937045,0.010652592,0.5,0.41,0.08,0.51
"253",3,0.4324219,0.4320029,0.001651369,0.5,0.54,0.04,0.42
"254",4,0.6653125,0.4889479,0.043229851,0.5,0.15,0.3,0.55
"255",5,0.3556641,0.3726082,0.005018358,0.5,0.61,0.06,0.33
"256",6,0.5169922,0.5527679,0.00413614,0.5,0.45,0.05,0.5
"257",7,0.6626953,0.5456131,0.030558328,0.5,0.17,0.25,0.58
"258",8,0.4711719,0.35093,0.028676366,0.5,0.29,0.37,0.34
"259",9,0.4086719,0.4483628,0.013018335,0.5,0.44,0.22,0.34
"260",10,0.4515234,0.2971845,0.025222952,0.5,0.31,0.38,0.31
"261",1,0.5198828,0.5052095,0.009460827,0.5,0.43,0.09,0.48
"262",2,0.6026563,0.659082,0.01621278,0.5,0.29,0.15,0.56
"263",3,0.5409375,0.5027607,0.018412678,0.5,0.34,0.19,0.47
"264",4,0.5103125,0.4299405,0.023449858,0.5,0.27,0.31,0.42
"265",5,0.5077344,0.4078121,0.030524907,0.5,0.26,0.37,0.37
"266",6,0.4849609,0.3468918,0.009290966,0.5,0.45,0.12,0.43
"267",7,0.4075781,0.2127943,0.031490969,0.5,0.42,0.33,0.25
"268",8,0.3985156,0.4232281,0.017422158,0.5,0.44,0.24,0.32
"269",9,0.7045703,0.6883321,0.014397527,0.5,0.23,0.11,0.66
"270",10,0.4367969,0.3316341,0.019849919,0.5,0.4,0.26,0.34
"271",1,0.4748047,0.430652,0.016381552,0.5,0.37,0.21,0.42
"272",2,0.4229688,0.3843017,0.011089179,0.5,0.47,0.16,0.37
