"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"141",1,0.4367187,0.4228067,0.01906962,0.380827358,0.42,0.24,0.34
"142",2,0.6699219,0.4146222,0.08068416,0.005480218,0.27,0.25,0.48
"143",3,0.5617969,0.4926659,0.01446003,0.39917884,0.32,0.17,0.51
"144",4,0.3913672,0.2013599,0.0198312,0.034156493,0.5,0.2,0.3
"145",5,0.6045312,0.4333659,0.02962644,0.076953284,0.28,0.19,0.53
"146",6,0.4928125,0.4951257,0.0261202,0.838835682,0.3,0.31,0.39
"147",7,0.40875,0.3114502,0.01901318,0.878712176,0.39,0.3,0.31
"148",8,0.5573828,0.5134283,0.01947081,0.155407831,0.33,0.18,0.49
"149",9,0.5754687,0.4759005,0.02501295,0.875101562,0.24,0.28,0.48
"150",10,0.5853516,0.5711364,0.01748107,0.222060321,0.29,0.2,0.51
"151",1,0.3871875,0.3656787,0.006711632,0.567492733,0.51,0.14,0.35
"152",2,0.5565234,0.4658798,0.014047947,0.957556775,0.23,0.27,0.5
"153",3,0.3871094,0.3019531,0.009033236,0.880796099,0.47,0.19,0.34
"154",4,0.4936719,0.4746316,0.01538685,0.586967552,0.35,0.23,0.42
"155",5,0.4430469,0.3942269,0.023704546,0.13840415,0.42,0.24,0.34
"156",6,0.4721094,0.4489732,0.013550006,0.760726532,0.37,0.21,0.42
"157",7,0.5669141,0.4994862,0.020565847,0.508035012,0.29,0.23,0.48
"158",8,0.6873047,0.4692021,0.061648544,0.00215817,0.2,0.25,0.55
"159",9,0.4308984,0.4364675,0.002478359,0.420239922,0.53,0.05,0.42
"160",10,0.6476953,0.4522624,0.053055938,0.008929379,0.22,0.27,0.51
"161",1,0.5395313,0.3999436,0.010065761,0.930371331,0.33,0.16,0.51
"162",2,0.4871875,0.4986544,0.015249069,0.255131878,0.4,0.17,0.43
"163",3,0.5098438,0.4716729,0.020112659,0.782730817,0.32,0.25,0.43
"164",4,0.4747656,0.4593455,0.008051604,0.622046981,0.42,0.14,0.44
"165",5,0.4716406,0.3902835,0.014839103,0.230275758,0.4,0.19,0.41
"166",6,0.4869531,0.3444649,0.018278173,0.356462344,0.38,0.23,0.39
"167",7,0.6782031,0.5090889,0.05956871,0.015257751,0.26,0.22,0.52
"168",8,0.5987891,0.5243222,0.018101915,0.765180344,0.25,0.23,0.52
"169",9,0.5221484,0.4134443,0.015924185,0.307328006,0.34,0.21,0.45
"170",10,0.5583984,0.3395462,0.057361054,0.002486455,0.37,0.23,0.4
"171",1,0.6371094,0.4697804,0.023948417,0.58674213,0.22,0.22,0.56
"172",2,0.6321875,0.5549535,0.02354496,0.11328706,0.29,0.14,0.57
"173",3,0.4110156,0.407228,0.006937499,0.31533614,0.51,0.11,0.38
"174",4,0.4720313,0.4634877,0.005285857,0.28724971,0.46,0.09,0.45
"175",5,0.5176172,0.4204697,0.007733772,0.47499551,0.49,0.02,0.49
"176",6,0.4521094,0.3089063,0.022639684,0.1921162,0.41,0.22,0.37
"177",7,0.5912109,0.3954007,0.045986017,0.17167708,0.22,0.35,0.43
"178",8,0.3498828,0.2935728,0.011404817,0.01023678,0.57,0.13,0.3
"179",9,0.5799609,0.4574041,0.014801373,0.72518714,0.25,0.23,0.52
"180",10,0.543125,0.5019198,0.026683663,0.66828429,0.21,0.36,0.43
"181",1,0.4541016,0.4788697,0.001910839,0.5029004,0.55,0,0.45
"182",2,0.5415234,0.3932156,0.026179621,0.5706989,0.24,0.31,0.45
"183",3,0.4200391,0.2638618,0.024294808,0.2366316,0.38,0.32,0.3
"184",4,0.4678906,0.4999496,0.005508473,0.3033591,0.48,0.08,0.44
"185",5,0.5528125,0.2993946,0.029495831,0.3167823,0.29,0.26,0.45
"186",6,0.6841016,0.5129749,0.038313964,0.1223251,0.2,0.23,0.57
"187",7,0.6064844,0.5221207,0.02469665,0.9484149,0.2,0.29,0.51
"188",8,0.4133984,0.3982796,0.011850539,0.3360243,0.46,0.18,0.36
"189",9,0.3982422,0.3138492,0.010865697,0.1747389,0.55,0.1,0.35
"190",10,0.4932813,0.4239021,0.008154863,0.5996472,0.35,0.2,0.45
"191",1,0.7112891,0.6838572,0.039202847,0.21085707,0.15,0.21,0.64
"192",2,0.4305078,0.1817164,0.03888452,0.20317224,0.39,0.36,0.25
"193",3,0.6724609,0.6460638,0.020925566,0.04736734,0.25,0.13,0.62
"194",4,0.2500391,0.2155268,0.003366319,0.702051,0.61,0.16,0.23
"195",5,0.5643359,0.5167168,0.009616196,0.70664462,0.31,0.16,0.53
"196",6,0.7042969,0.5707129,0.043231928,0.37805905,0.11,0.31,0.58
"197",7,0.3930078,0.2408365,0.023280808,0.84101159,0.3,0.43,0.27
"198",8,0.5242578,0.4366782,0.030541061,0.45097167,0.22,0.39,0.39
"199",9,0.5728125,0.5641376,0.029166823,0.55572048,0.19,0.37,0.44
"200",10,0.2586719,0.2297972,0.017475987,0.26317549,0.55,0.28,0.17
"201",1,0.5580078,0.4348605,0.03840349,0.12109126,0.31,0.29,0.4
"202",2,0.6287109,0.5069681,0.0315489,0.45893215,0.23,0.25,0.52
"203",3,0.3723437,0.308725,0.01579711,0.5523516,0.46,0.23,0.31
"204",4,0.6036328,0.4078993,0.05232929,0.02360519,0.27,0.32,0.41
"205",5,0.4201172,0.2600515,0.01963648,0.27727149,0.33,0.35,0.32
"206",6,0.5023047,0.4042777,0.02684864,0.21284632,0.37,0.25,0.38
"207",7,0.6101562,0.466027,0.01666103,0.8233278,0.25,0.2,0.55
"208",8,0.4719531,0.3553285,0.02123423,0.25248817,0.43,0.19,0.38
"209",9,0.5670703,0.4526612,0.03192118,0.11348859,0.31,0.25,0.44
"210",10,0.5921484,0.4625964,0.02316036,0.12665351,0.32,0.17,0.51
"211",1,0.3922656,0.3266116,0.005592208,0.79139548,0.57,0.06,0.37
"212",2,0.6282031,0.537315,0.037459435,0.05251922,0.26,0.23,0.51
"213",3,0.5594531,0.4334533,0.011787156,0.42946791,0.31,0.17,0.52
"214",4,0.4615234,0.3215252,0.022455468,0.47266993,0.37,0.28,0.35
"215",5,0.5654297,0.5163873,0.009226215,0.38395368,0.34,0.13,0.53
"216",6,0.5537109,0.4704705,0.02329845,0.79298676,0.28,0.25,0.47
"217",7,0.6860156,0.5823817,0.044273375,0.04265239,0.26,0.16,0.58
"218",8,0.4184375,0.3662868,0.010523919,0.75257091,0.38,0.26,0.36
"219",9,0.3497266,0.3164326,0.006928218,0.44570079,0.56,0.13,0.31
"220",10,0.6221094,0.5953153,0.011188737,0.80288893,0.23,0.19,0.58
"221",1,0.6138672,0.2395786,0.069703859,0.008852501,0.2,0.39,0.41
"222",2,0.7975781,0.2717386,0.144402659,0.334069545,0,0.56,0.44
"223",3,0.5809375,0.444001,0.041839206,0.185869568,0.27,0.31,0.42
"224",4,0.5297266,0.446735,0.03389636,0.89133264,0.2,0.39,0.41
"225",5,0.7272656,0.4128022,0.105331354,0.545561352,0.01,0.55,0.44
"226",6,0.4412891,0.429992,0.003081527,0.493755272,0.53,0.04,0.43
"227",7,0.8256641,0.1600377,0.177356284,0.207172464,0,0.56,0.44
"228",8,0.5661328,0.4069803,0.039582471,0.052618153,0.3,0.27,0.43
"229",9,0.6949219,0.3276388,0.079864005,0.6859174,0,0.57,0.43
"230",10,0.7217578,0.4589927,0.087798297,0.476217311,0,0.56,0.44
"231",1,0.6036719,0.3782206,0.049160924,0.25694827,0.19,0.37,0.44
"232",2,0.6658984,0.6234761,0.031832602,0.10568273,0.23,0.18,0.59
"233",3,0.6182813,0.5376798,0.018936168,0.01094918,0.36,0.07,0.57
"234",4,0.6513281,0.5469709,0.00402945,0.04314207,0.3,0.06,0.64
"235",5,0.5742188,0.4745204,0.032447844,0.13039606,0.23,0.33,0.44
"236",6,0.3200781,0.3241911,0.01130173,0.54920687,0.58,0.15,0.27
"237",7,0.4798828,0.4157641,0.009978545,0.06179272,0.49,0.07,0.44
"238",8,0.4934766,0.3535033,0.020454299,0.86804071,0.3,0.3,0.4
"239",9,0.615625,0.4923206,0.01694953,0.5591912,0.29,0.16,0.55
"240",10,0.4891406,0.3121211,0.037096107,0.01045977,0.41,0.25,0.34
"241",1,0.5215625,0.4940351,0.012406576,0.67102301,0.35,0.17,0.48
"242",2,0.35375,0.2312783,0.006972199,0.83095727,0.54,0.14,0.32
"243",3,0.5377734,0.4480975,0.008910846,0.95231934,0.38,0.12,0.5
"244",4,0.618125,0.557004,0.015642747,0.56490623,0.3,0.13,0.57
"245",5,0.6120313,0.5654829,0.00798642,0.91190819,0.29,0.13,0.58
"246",6,0.5344141,0.4386253,0.00445171,0.16924103,0.45,0.03,0.52
"247",7,0.49875,0.2195237,0.038629941,0.02509251,0.38,0.27,0.35
"248",8,0.4052734,0.4169278,0.012074037,0.62839938,0.47,0.17,0.36
"249",9,0.4744141,0.3855804,0.019471817,0.54149372,0.3,0.31,0.39
"250",10,0.4117188,0.3283121,0.023511883,0.36152211,0.39,0.31,0.3
"251",1,0.5007422,0.3930835,0.02160561,0.68556211,0.33,0.25,0.42
"252",2,0.6188281,0.5447617,0.02832705,0.49226191,0.21,0.25,0.54
"253",3,0.5058984,0.4135133,0.01443851,0.71347544,0.39,0.17,0.44
"254",4,0.4603125,0.2768144,0.03273589,0.02738525,0.45,0.2,0.35
"255",5,0.4697656,0.3335423,0.02598097,0.24808719,0.37,0.27,0.36
"256",6,0.6131641,0.539178,0.01799013,0.85344637,0.22,0.23,0.55
"257",7,0.469375,0.4308625,0.01834006,0.74546663,0.37,0.23,0.4
"258",8,0.6056641,0.4788553,0.01981669,0.0607705,0.32,0.15,0.53
"259",9,0.4685547,0.4612932,0.01114839,0.82449454,0.4,0.18,0.42
"260",10,0.4515625,0.4207413,0.01730352,0.14359336,0.42,0.19,0.39
"261",1,0.6417578,0.4154863,0.049680416,0.17284241,0.19,0.34,0.47
"262",2,0.5336719,0.5005803,0.021755269,0.25419394,0.26,0.3,0.44
"263",3,0.4001562,0.3674612,0.007819301,0.2841404,0.57,0.06,0.37
"264",4,0.3997266,0.3361894,0.017928757,0.18029952,0.46,0.21,0.33
"265",5,0.5407812,0.3074117,0.045284921,0.03170607,0.31,0.3,0.39
"266",6,0.5508203,0.5454473,0.009607535,0.97283394,0.36,0.12,0.52
"267",7,0.5125,0.5057053,0.013015396,0.13747096,0.41,0.12,0.47
"268",8,0.575625,0.4987568,0.028894984,0.79107391,0.19,0.33,0.48
"269",9,0.3405859,0.2492483,0.012703612,0.66556238,0.53,0.21,0.26
"270",10,0.5354688,0.3812467,0.026546619,0.65416935,0.25,0.32,0.43
"271",1,0.7586328,0.3413666,0.122314232,0.27034719,0.03,0.55,0.42
"272",2,0.4343359,0.4371795,0.004371039,0.8052422,0.51,0.08,0.41
"273",3,0.8177734,0.2748507,0.167487982,0.61010221,0,0.56,0.44
"274",4,0.6348438,0.394012,0.058639116,0.37604771,0.03,0.54,0.43
"275",5,0.7425391,0.4162273,0.1026949,0.49551786,0,0.58,0.42
"276",6,0.7683594,0.1614474,0.149703568,0.01559177,0.1,0.45,0.45
"277",7,0.6542187,0.4705724,0.072736749,0.29617418,0.1,0.48,0.42
"278",8,0.6742969,0.4415863,0.069087716,0.12491909,0.13,0.43,0.44
"279",9,0.6121094,0.3889677,0.053232372,0.17828099,0.14,0.42,0.44
"280",10,0.8101953,0.3636968,0.151737683,0.11129832,0,0.56,0.44
"281",1,0.6848437,0.664197,0.02712347,0.41645016,0.21,0.21,0.58
"282",2,0.6437109,0.4898801,0.04294818,0.01587022,0.31,0.18,0.51
"283",3,0.5276953,0.5132953,0.01344066,0.37984471,0.39,0.14,0.47
"284",4,0.5358594,0.4524507,0.01355929,0.22654972,0.36,0.16,0.48
"285",5,0.4855078,0.4265611,0.01601451,0.9827381,0.38,0.2,0.42
"286",6,0.5767578,0.3915445,0.03080081,0.39111158,0.24,0.29,0.47
"287",7,0.4746094,0.3265187,0.03020319,0.17257077,0.33,0.32,0.35
"288",8,0.5445313,0.4608363,0.03357117,0.950054,0.2,0.38,0.42
"289",9,0.6804687,0.5150863,0.04289964,0.2996384,0.15,0.28,0.57
"290",10,0.5427734,0.406288,0.03787591,0.83299007,0.22,0.39,0.39
"291",1,0.5323828,0.5251732,0.021662373,0.40737983,0.33,0.23,0.44
"292",2,0.4543359,0.4376205,0.008426879,0.19775384,0.49,0.09,0.42
"293",3,0.4996094,0.4897216,0.009960416,0.14112729,0.46,0.08,0.46
"294",4,0.3510937,0.2415211,0.003934337,0.4793816,0.58,0.09,0.33
"295",5,0.4320703,0.3593917,0.01336352,0.06558334,0.5,0.12,0.38
"296",6,0.3523828,0.3082153,0.010949583,0.83785954,0.51,0.19,0.3
"297",7,0.5407422,0.3477606,0.021282107,0.30594408,0.27,0.28,0.45
"298",8,0.4408203,0.4476835,0.011717462,0.95671756,0.37,0.24,0.39
"299",9,0.6366016,0.5959522,0.035254171,0.15235656,0.24,0.26,0.5
"300",10,0.4217578,0.399507,0.009208594,0.06538937,0.49,0.14,0.37
"301",1,0.7200781,0.333,0.116411966,0.004381073,0.12,0.35,0.53
"302",2,0.4275781,0.2970028,0.0230878396,0.71164192,0.39,0.28,0.33
"303",3,0.4971875,0.5808888,0.0059555178,0.641405425,0.41,0.12,0.47
"304",4,0.6142969,0.508399,0.0207001094,0.239046427,0.26,0.21,0.53
"305",5,0.4707031,0.5295216,0.0002791837,0.62198637,0.53,0,0.47
"306",6,0.5769922,0.5176967,0.0091209325,0.871978744,0.33,0.13,0.54
"307",7,0.4217969,0.367741,0.0153143436,0.65238825,0.35,0.3,0.35
"308",8,0.6825781,0.5940439,0.0407972345,0.394802207,0.14,0.29,0.57
"309",9,0.6151562,0.4856651,0.017252214,0.880268956,0.2,0.25,0.55
"310",10,0.4529687,0.2904062,0.0290063566,0.059342197,0.34,0.33,0.33
"311",1,0.4944922,0.4204509,0.021735786,0.63173451,0.29,0.3,0.41
"312",2,0.5691797,0.612304,0.007110051,0.83820649,0.34,0.11,0.55
"313",3,0.5930469,0.2859314,0.057418111,0.05343242,0.24,0.33,0.43
"314",4,0.5492187,0.4291323,0.030118791,0.29134583,0.29,0.28,0.43
"315",5,0.6013281,0.5298878,0.013753171,0.98168188,0.29,0.17,0.54
"316",6,0.4248047,0.3500352,0.003301399,0.44360802,0.52,0.07,0.41
"317",7,0.5740234,0.4946677,0.028753165,0.11988842,0.37,0.16,0.47
"318",8,0.5035547,0.4002253,0.024729274,0.26371043,0.28,0.33,0.39
"319",9,0.4778125,0.4057458,0.007581271,0.29511698,0.47,0.08,0.45
"320",10,0.5180469,0.4471798,0.038780218,0.01575253,0.34,0.26,0.4
"321",1,0.6728516,0.5726969,0.045212799,0.1399952,0.2,0.24,0.56
"322",2,0.6201953,0.34821,0.047464612,0.04801523,0.28,0.25,0.47
"323",3,0.5581641,0.495404,0.022328482,0.27535457,0.34,0.19,0.47
"324",4,0.6185547,0.5345044,0.022569005,0.14562499,0.25,0.2,0.55
"325",5,0.5188672,0.4506765,0.011768606,0.84301794,0.31,0.22,0.47
"326",6,0.373125,0.2616225,0.018833118,0.46133918,0.41,0.3,0.29
"327",7,0.3487891,0.3363697,0.013816951,0.15928,0.54,0.18,0.28
"328",8,0.6208984,0.6172957,0.030120217,0.97268541,0.21,0.26,0.53
"329",9,0.6044922,0.4219688,0.021086348,0.29409995,0.31,0.15,0.54
"330",10,0.3688672,0.3256403,0.007456243,0.07294101,0.62,0.04,0.34
"331",1,0.5573047,0.4148664,0.03929702,0.23011614,0.26,0.34,0.4
"332",2,0.5601953,0.3826544,0.020895723,0.77332687,0.2,0.32,0.48
"333",3,0.5332813,0.4471739,0.021654853,0.22604855,0.36,0.18,0.46
"334",4,0.5309766,0.354297,0.016438135,0.03233625,0.38,0.17,0.45
"335",5,0.5196484,0.4242244,0.008796965,0.56162169,0.37,0.14,0.49
"336",6,0.374375,0.3203394,0.012528422,0.2422645,0.51,0.17,0.32
"337",7,0.6004297,0.5412353,0.017159447,0.14411008,0.29,0.17,0.54
"338",8,0.3804297,0.2892973,0.012167263,0.42497894,0.5,0.18,0.32
