"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"574",4,0.4317969,0.3181779,0.02903952,0,0.43,0.24,0.33
"575",5,0.5792188,0.340768,0.04287907,0,0.27,0.24,0.49
"576",6,0.5529688,0.3821001,0.01794101,0,0.4,0.11,0.49
"577",7,0.4795313,0.3935922,0.02802475,0,0.37,0.22,0.41
"578",8,0.6245312,0.3509019,0.05690851,0,0.34,0.22,0.44
"579",9,0.4994141,0.4531563,0.02227688,0,0.45,0.11,0.44
"580",10,0.4749609,0.2723991,0.0474008,0,0.45,0.22,0.33
"581",1,0.5006641,0.4183212,0.021371831,0,0.39,0.18,0.43
"582",2,0.5964063,0.3217817,0.055008197,0,0.25,0.26,0.49
"583",3,0.4105859,0.3082283,0.024414702,0,0.49,0.19,0.32
"584",4,0.5312891,0.364212,0.019002587,0,0.41,0.14,0.45
"585",5,0.4599219,0.4089299,0.003032179,0,0.49,0.06,0.45
"586",6,0.6116016,0.4622384,0.038996837,0,0.25,0.26,0.49
"587",7,0.6267187,0.376805,0.058660951,0,0.25,0.21,0.54
"588",8,0.6125,0.4140846,0.063158941,0,0.29,0.3,0.41
"589",9,0.6057813,0.5044874,0.02786978,0,0.35,0.14,0.51
"590",10,0.6644141,0.5836485,0.045397518,0,0.27,0.16,0.57
"591",1,0.6078516,0.5287638,0.04461338,0,0.29,0.26,0.45
"592",2,0.6399219,0.5115475,0.05212342,0,0.3,0.19,0.51
"593",3,0.5426172,0.4363864,0.02281907,0,0.35,0.17,0.48
"594",4,0.4613281,0.3504448,0.01056345,0,0.5,0.09,0.41
"595",5,0.5553516,0.5437844,0.02491482,0,0.36,0.15,0.49
"596",6,0.6273047,0.2786577,0.06356895,0,0.25,0.27,0.48
"597",7,0.5875,0.5044882,0.03033423,0,0.38,0.12,0.5
"598",8,0.6377734,0.3791994,0.06480703,0,0.31,0.25,0.44
"599",9,0.5355859,0.258021,0.05146158,0,0.32,0.25,0.43
"600",10,0.5791016,0.3930135,0.03557089,0,0.31,0.22,0.47
"601",1,0.5273438,0.2802049,0.04624638,0,0.4,0.2,0.4
"602",2,0.6482031,0.286585,0.07276351,0,0.3,0.24,0.46
"603",3,0.4514453,0.3694712,0.01226781,0,0.45,0.13,0.42
"604",4,0.42375,0.2839605,0.01351287,0,0.51,0.1,0.39
"605",5,0.5913672,0.3994513,0.046732,0,0.29,0.28,0.43
"606",6,0.5448047,0.465436,0.02674093,0,0.31,0.24,0.45
"607",7,0.5022656,0.4322525,0.02994705,0,0.46,0.11,0.43
"608",8,0.6042969,0.3464846,0.04122642,0,0.31,0.22,0.47
"609",9,0.4440625,0.2828143,0.02283408,0,0.47,0.18,0.35
"610",10,0.6189844,0.5695037,0.03307492,0,0.26,0.24,0.5
"611",1,0.5385937,0.2972505,0.04214752,0,0.32,0.27,0.41
"612",2,0.5160156,0.4244635,0.02068795,0,0.44,0.13,0.43
"613",3,0.5499219,0.4441612,0.02693247,0,0.38,0.15,0.47
"614",4,0.6391016,0.5421932,0.04932468,0,0.3,0.18,0.52
"615",5,0.4675781,0.4449284,0.01457464,0,0.48,0.1,0.42
"616",6,0.4953516,0.4314423,0.02235429,0,0.44,0.15,0.41
"617",7,0.5152344,0.452705,0.02130373,0,0.38,0.18,0.44
"618",8,0.5183594,0.4293233,0.01841571,0,0.4,0.15,0.45
"619",9,0.5209375,0.5236924,0.0252803,0,0.37,0.16,0.47
"620",10,0.4572266,0.3324245,0.02031441,0,0.43,0.18,0.39
"621",1,0.4843359,0.3462596,0.02884102,0,0.39,0.19,0.42
"622",2,0.6305469,0.4703606,0.05578875,0,0.27,0.24,0.49
"623",3,0.4441406,0.3467222,0.02489987,0,0.49,0.17,0.34
"624",4,0.5415234,0.3474463,0.03332902,0,0.38,0.22,0.4
"625",5,0.5429688,0.3580203,0.04198703,0,0.35,0.23,0.42
"626",6,0.4355469,0.3227979,0.02076018,0,0.47,0.17,0.36
"627",7,0.5900781,0.4176402,0.03834033,0,0.29,0.27,0.44
"628",8,0.5626953,0.3969109,0.02908035,0,0.37,0.15,0.48
"629",9,0.4360938,0.3913305,0.01919157,0,0.51,0.13,0.36
"630",10,0.5036719,0.2702676,0.03556477,0,0.41,0.19,0.4
"631",1,0.5405078,0.4741967,0.03173067,0,0.37,0.2,0.43
"632",2,0.6203516,0.5414876,0.03710232,0,0.36,0.14,0.5
"633",3,0.6164063,0.3603584,0.04504812,0,0.36,0.17,0.47
"634",4,0.5785547,0.4605449,0.04083676,0,0.33,0.19,0.48
"635",5,0.5349219,0.3719916,0.03833657,0,0.33,0.27,0.4
"636",6,0.6041797,0.4227014,0.03264084,0,0.31,0.17,0.52
"637",7,0.4460938,0.3194686,0.01248146,0,0.45,0.15,0.4
"638",8,0.5226953,0.3139743,0.0509529,0,0.36,0.25,0.39
"639",9,0.5640625,0.4884959,0.02187815,0,0.32,0.19,0.49
"640",10,0.5394141,0.4543911,0.01766374,0,0.39,0.12,0.49
"641",1,0.5457812,0.4306182,0.04191844,0,0.34,0.23,0.43
"642",2,0.5769531,0.6570896,0.01073106,0,0.33,0.13,0.54
"643",3,0.625,0.4176833,0.04982189,0,0.27,0.25,0.48
"644",4,0.4844141,0.2625303,0.02349062,0,0.41,0.19,0.4
"645",5,0.6074219,0.2847538,0.07243955,0,0.37,0.28,0.35
"646",6,0.4610156,0.3585499,0.02124928,0,0.39,0.22,0.39
"647",7,0.5066016,0.3376613,0.02208205,0,0.39,0.19,0.42
"648",8,0.6441016,0.3920305,0.05743478,0,0.29,0.23,0.48
"649",9,0.4564844,0.3544454,0.02807445,0,0.47,0.19,0.34
"650",10,0.4595703,0.4399281,0.01528018,0,0.42,0.18,0.4
"651",1,0.4039453,0.4062204,0.011547616,0,0.53,0.11,0.36
"652",2,0.6259766,0.3881355,0.062679877,0,0.27,0.25,0.48
"653",3,0.5961719,0.4902928,0.042081501,0,0.35,0.17,0.48
"654",4,0.4310156,0.3805675,0.007007267,0,0.51,0.1,0.39
"655",5,0.5258203,0.37886,0.021524227,0,0.39,0.14,0.47
"656",6,0.5878906,0.4323678,0.039520998,0,0.35,0.17,0.48
"657",7,0.6626953,0.4961478,0.052011192,0,0.24,0.21,0.55
"658",8,0.4864453,0.3754568,0.016711646,0,0.5,0.09,0.41
"659",9,0.5920703,0.372123,0.051959567,0,0.34,0.21,0.45
"660",10,0.6189844,0.3735261,0.045704253,0,0.28,0.23,0.49
"661",1,0.5540625,0.3172038,0.042746706,0,0.3,0.25,0.45
"662",2,0.5114453,0.4160876,0.019052646,0,0.39,0.17,0.44
"663",3,0.5206641,0.4585621,0.009080174,0,0.4,0.14,0.46
"664",4,0.4474219,0.4405839,0.013439537,0,0.45,0.15,0.4
"665",5,0.5301953,0.3791967,0.017757319,0,0.43,0.12,0.45
"666",6,0.556875,0.4569562,0.020397953,0,0.37,0.17,0.46
"667",7,0.6227344,0.4492477,0.043718554,0,0.3,0.19,0.51
"668",8,0.5056641,0.4205028,0.032043987,0,0.42,0.17,0.41
"669",9,0.4994922,0.3599348,0.031254002,0,0.46,0.12,0.42
"670",10,0.5305859,0.4811626,0.0158549,0,0.35,0.16,0.49
"671",1,0.5992969,0.4670699,0.03989584,0,0.31,0.2,0.49
"672",2,0.5152344,0.3540151,0.0394288,0,0.35,0.29,0.36
"673",3,0.6788281,0.4057831,0.07930431,0,0.22,0.29,0.49
"674",4,0.5678125,0.4450535,0.03057919,0,0.34,0.2,0.46
"675",5,0.4033203,0.3554207,0.01361601,0,0.45,0.2,0.35
"676",6,0.6220703,0.523904,0.03071924,0,0.27,0.19,0.54
"677",7,0.6227344,0.5439959,0.02820443,0,0.27,0.2,0.53
"678",8,0.6197266,0.4912056,0.04839418,0,0.26,0.2,0.54
"679",9,0.6065234,0.4202768,0.04572624,0,0.28,0.24,0.48
"680",10,0.4992578,0.3745518,0.0223721,0,0.38,0.19,0.43
"681",1,0.51625,0.3539366,0.033647673,0,0.39,0.21,0.4
"682",2,0.5361719,0.3941531,0.045069723,0,0.34,0.25,0.41
"683",3,0.5625391,0.4439347,0.030448108,0,0.37,0.19,0.44
"684",4,0.5583984,0.3878548,0.031677407,0,0.3,0.22,0.48
"685",5,0.4300781,0.276634,0.01406124,0,0.47,0.16,0.37
"686",6,0.5987891,0.3427,0.052007841,0,0.35,0.2,0.45
"687",7,0.5401172,0.3774913,0.037148281,0,0.41,0.17,0.42
"688",8,0.5596094,0.2494958,0.049455596,0,0.32,0.25,0.43
"689",9,0.3955078,0.4041425,0.006873325,0,0.5,0.14,0.36
"690",10,0.5422266,0.3645711,0.032576069,0,0.35,0.21,0.44
"691",1,0.6407031,0.4395719,0.04867896,0,0.25,0.21,0.54
"692",2,0.5503906,0.2871276,0.04918376,0,0.31,0.28,0.41
"693",3,0.6940234,0.3777261,0.07941467,0,0.26,0.24,0.5
"694",4,0.5624219,0.2761393,0.06763935,0,0.38,0.27,0.35
"695",5,0.5257422,0.3635402,0.04161606,0,0.39,0.23,0.38
"696",6,0.5755469,0.3520469,0.04606871,0,0.28,0.29,0.43
"697",7,0.6682813,0.3508507,0.07520608,0,0.23,0.26,0.51
"698",8,0.5982422,0.3675576,0.05357128,0,0.3,0.26,0.44
"699",9,0.4828125,0.4340764,0.01759265,0,0.37,0.18,0.45
"700",10,0.4730859,0.2656006,0.0417852,0,0.38,0.27,0.35
