"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"1984",0.5086335,0.046842311,0.5,0.13,0.37,0.5
"1985",0.4717981,0.029218487,0.5,0.27,0.23,0.5
"1986",0.2917456,0.008547452,0.5,0.51,0.14,0.35
"1987",0.5144576,0.017162162,0.5,0.29,0.16,0.55
"1988",0.3464458,0.011082505,0.5,0.4,0.25,0.35
"1989",0.367748,0.01820431,0.5,0.36,0.22,0.42
"1990",0.4442188,0.021584233,0.5,0.27,0.25,0.48
"1991",0.4881465,0.023405105,0.5,0.18,0.31,0.51
"1992",0.3441782,0.008465367,0.5,0.53,0.15,0.32
"1993",0.402241,0.025181737,0.5,0.33,0.31,0.36
"1994",0.2484414,0.009017091,0.5,0.45,0.2,0.35
"1995",0.6030294,0.032617896,0.5,0.19,0.26,0.55
"1996",0.5061857,0.020702863,0.5,0.34,0.19,0.47
"1997",0.4246175,0.016810627,0.5,0.33,0.27,0.4
"1998",0.4978922,0.007647455,0.5,0.41,0.09,0.5
"1999",0.4702098,0.019103051,0.5,0.34,0.29,0.37
"2000",0.5339842,0.026864086,0.5,0.23,0.29,0.48
"2001",0.50510367,0.102878009,1,0,0.59,0.41
"2002",0.2439824,0.138245107,1,0,0.56,0.44
"2003",0.22665118,0.165568502,1,0.01,0.56,0.43
"2004",0.31830444,0.154374507,1,0,0.59,0.41
"2005",0.13678798,0.15688787,1,0,0.59,0.41
"2006",0.22529619,0.145950014,1,0.01,0.58,0.41
"2007",0.37652026,0.087197921,1,0.01,0.57,0.42
"2008",0.09466858,0.151659073,1,0,0.58,0.42
"2009",0.49995157,0.078350009,1,0.01,0.56,0.43
"2010",0.43225431,0.003638163,1,0.52,0.07,0.41
"2011",0.5837163,0.0118729188,1,0.32,0.13,0.55
"2012",0.4450725,0.0218073635,1,0.24,0.34,0.42
"2013",0.5288367,0.0075858212,1,0.33,0.15,0.52
"2014",0.4491529,0.0007800143,1,0.52,0.01,0.47
"2015",0.685644,0.0095515845,1,0.28,0.1,0.62
"2016",0.4799432,0.0295132452,1,0.19,0.34,0.47
"2017",0.3787807,0.030999406,1,0.2,0.44,0.36
"2018",0.3148319,0.0203386417,1,0.24,0.36,0.4
"2019",0.4609965,0.0070944875,1,0.45,0.13,0.42
