"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"237",0.405823632034921,0.0733593168141043,0,607,393,0.2
"261.3",0.393359199534487,0.0688946830118311,0,601,399,0.2
"508",0.405817536652276,0.0700004902647122,0,579,421,0.2
"89",0.318209472070564,0.0844940616280717,0,685,315,0.2
"247.1",0.348171738670285,0.0779659738588599,0,638,362,0.2
"186",0.387710380529997,0.0730781052334797,0,609,391,0.2
"406",0.33463657821216,0.0812397325706072,0,674,326,0.2
"48",0.37279603665174,0.0741599356892618,0,628,372,0.2
"28",0.385465623194034,0.0748539254347503,0,634,366,0.2
"476",0.330126325645972,0.0830435905016029,0,650,350,0.2
"480",0.387639579719513,0.078205540480226,0,585,415,0.2
"97",0.339112985013924,0.0824890376597993,0,634,366,0.2
"139",0.42256921524735,0.0716956722735316,0,599,401,0.2
"517.2",0.324884734697367,0.0775270668777542,0,668,332,0.2
"392",0.344527178519404,0.0825770077054293,0,642,358,0.2
"228",0.34310951160985,0.0831611343515884,0,666,334,0.2
"7",0.411049996061839,0.0651739728753764,0,582,418,0.2
"172",0.428140697690488,0.0641933067921321,0,558,442,0.2
"418.2",0.397112762936407,0.0778535803078894,0,608,392,0.2
"6",0.371882829561009,0.0745675184972025,0,628,372,0.2
"124",0.401509782075472,0.0729670201147492,0,611,389,0.2
"200.1",0.337033498234288,0.0765661792617149,0,656,344,0.2
"103",0.301963331552148,0.0808929330314833,0,683,317,0.2
"177.1",0.400570012031333,0.0693599710043623,0,610,390,0.2
"319.1",0.377124614787892,0.0766516129343165,0,620,380,0.2
"453.1",0.387513662886129,0.0743307726569636,0,579,421,0.2
"509",0.350585616835984,0.0867306383364158,0,637,363,0.2
"315.1",0.324881390685458,0.0908074222500242,0,697,303,0.2
"447.1",0.355616715321804,0.0816619029563639,0,637,363,0.2
"156",0.351437347468413,0.0706141730130779,0,667,333,0.2
"43",0.33027336951791,0.0804665633104628,0,668,332,0.2
"171.1",0.41916406971175,0.0710616088666838,0,603,397,0.2
"163.2",0.333578358005514,0.0843995016552981,0,650,350,0.2
"241",0.362051358762122,0.0790258745334092,0,647,353,0.2
"101",0.340596019193567,0.0802556443085657,0,668,332,0.2
"310",0.374834787502584,0.0756712729966375,0,630,370,0.2
"346",0.361563003250718,0.0734420329649684,0,642,358,0.2
"325.1",0.38038873998753,0.0745127786715536,0,626,374,0.2
"229",0.399754773200564,0.0688560271565948,0,609,391,0.2
"193.2",0.331325669643339,0.0817138304572771,0,673,327,0.2
"193.3",0.331325669643339,0.0817138304572771,0,680,320,0.2
"94",0.35754608521779,0.0783781053311761,0,649,351,0.2
"147",0.34500439832236,0.0799223911825072,0,678,322,0.2
"373.1",0.362679145012081,0.080067949184029,0,636,364,0.2
"12.1",0.331226128074216,0.0750089787936956,0,672,328,0.2
"245",0.415631734924646,0.0724933569218899,0,553,447,0.2
"343",0.381816462167554,0.0692797585913205,0,609,391,0.2
"177.2",0.400570012031333,0.0693599710043623,0,582,418,0.2
"313.2",0.281036220553202,0.0914484500818438,0,735,265,0.2
"226.1",0.267386662155941,0.0929189495153442,0,723,277,0.2
"201",0.32980815886839,0.0806133944109288,0,647,353,0.2
"510",0.381508392276108,0.0733971688939479,0,631,369,0.2
"180.1",0.369194572061821,0.0741599458645418,0,616,384,0.2
"200.2",0.337033498234288,0.0765661792617149,0,666,334,0.2
"196",0.329448294633565,0.0842062956747202,0,651,349,0.2
"275",0.421937807630201,0.0729182761137373,0,581,419,0.2
"457",0.434483969635594,0.0658618128148898,0,579,421,0.2
"585",0.357086632066922,0.0749320785314533,0,626,374,0.2
"322",0.370685958895213,0.0776550664728684,0,618,382,0.2
"211.1",0.32309464821139,0.0735439660839887,0,676,324,0.2
"22.2",0.321641492673629,0.0806059469001386,0,690,310,0.2
"13",0.41484812774084,0.0697839258887301,0,576,424,0.2
"276.2",0.395590228942018,0.0762454095755921,0,570,430,0.2
"259.2",0.432711734241013,0.0630928630018673,0,589,411,0.2
"423",0.367293280629538,0.077718612316361,0,648,352,0.2
"96.1",0.327938442704099,0.0800839330456852,0,666,334,0.2
"251",0.397404294839554,0.074718017690419,0,599,401,0.2
"175",0.411168702624008,0.0655214735071754,0,591,409,0.2
"228.1",0.34310951160985,0.0831611343515884,0,633,367,0.2
"328",0.373490645318572,0.0741763521896188,0,626,374,0.2
"101.1",0.340596019193567,0.0802556443085657,0,665,335,0.2
"523",0.335697746624996,0.0838318589646722,0,648,352,0.2
"40.1",0.385341716157634,0.0761239153002172,0,607,393,0.2
"162",0.370739164429854,0.0800550956678648,0,640,360,0.2
"369.1",0.316964970038474,0.0871580487145685,0,698,302,0.2
"158",0.300654160687238,0.0837054851474941,0,668,332,0.2
"311",0.344666481039189,0.082500398616626,0,676,324,0.2
"313.3",0.281036220553202,0.0914484500818438,0,685,315,0.2
"182",0.280712329917058,0.0877764430230984,0,720,280,0.2
"462",0.390417326922866,0.0738472272056302,0,621,379,0.2
"123",0.338878938894284,0.0806506924933802,0,624,376,0.2
"245.1",0.415631734924646,0.0724933569218899,0,560,440,0.2
"63",0.311220621133764,0.0841026418601571,0,686,314,0.2
"547",0.373053234342656,0.0745696412417231,0,633,367,0.2
"275.1",0.421937807630201,0.0729182761137373,0,560,440,0.2
"336",0.393568832776081,0.0757333828095221,0,600,400,0.2
"13.1",0.41484812774084,0.0697839258887301,0,571,429,0.2
"288",0.438615840608278,0.0676055123076647,0,550,450,0.2
"135",0.331706044781738,0.0776166433563804,0,657,343,0.2
"133",0.31362349806299,0.0771526234248064,0,674,326,0.2
"8",0.420030489461842,0.0717810865022612,0,575,425,0.2
"54",0.364508118786517,0.0765046918260498,0,631,369,0.2
"365.1",0.38971635106436,0.0718926432215054,0,610,390,0.2
"493",0.389951813789517,0.0682733688666596,0,596,404,0.2
"517.3",0.324884734697367,0.0775270668777542,0,684,316,0.2
"261.4",0.393359199534487,0.0688946830118311,0,590,410,0.2
"68.2",0.346533850786695,0.0802785895904701,0,643,357,0.2
"279",0.283747252889072,0.0845391439196359,0,716,284,0.2
"127.2",0.364305464089737,0.082636661149589,0,661,339,0.2
"335",0.363761880690692,0.071783685279724,0,623,377,0.2
"129",0.340657001094711,0.0800824997317665,0,671,329,0.2
"93",0.379764785817761,0.0786991388613475,0,630,370,0.2
"440",0.353974635081344,0.0785961185949362,0,643,357,0.2
"216",0.395419268507596,0.0740706409047298,0,600,400,0.2
"8.1",0.420030489461842,0.0717810865022612,0,559,441,0.2
"156.1",0.351437347468413,0.0706141730130779,0,641,359,0.2
"106",0.399396920548705,0.0753316967545194,0,593,407,0.2
"479",0.445412881679175,0.0625280900554155,0,565,435,0.2
"193.4",0.331325669643339,0.0817138304572771,0,681,319,0.2
"509.1",0.350585616835984,0.0867306383364158,0,648,352,0.2
"118",0.364725409910266,0.0761875260451549,0,606,394,0.2
"220",0.362518681156522,0.0669778107023846,0,654,346,0.2
"307.1",0.380500014337895,0.077246454738376,0,610,390,0.2
"105.2",0.320754207278418,0.0789337560462477,0,666,334,0.2
"424",0.376997150750818,0.0735560249247249,0,601,399,0.2
"473",0.334795329501687,0.0863161272950989,0,653,347,0.2
"79.1",0.373783579954204,0.0763801618411724,0,642,358,0.2
"246.1",0.37310414994313,0.0672255772258117,0,661,339,0.2
"300",0.355082643586703,0.0851975107293621,0,602,398,0.2
"401.1",0.298495720925996,0.0916188580871392,0,671,329,0.2
"266.2",0.370969467541468,0.0727054724419851,0,641,359,0.2
"276.3",0.395590228942018,0.0762454095755921,0,616,384,0.2
"115",0.374856049911044,0.0744142322811166,0,629,371,0.2
"269.1",0.36173054941548,0.0803578003617551,0,659,341,0.2
"411",0.332905807327478,0.0791185630353311,0,646,354,0.2
"275.2",0.421937807630201,0.0729182761137373,0,561,439,0.2
"282.1",0.368725823148775,0.0825974394981819,0,648,352,0.2
"406.1",0.33463657821216,0.0812397325706072,0,673,327,0.2
"498.2",0.289687448663143,0.0845805534667873,0,710,290,0.2
"431.1",0.380030033519427,0.0769995108441116,0,599,401,0.2
"212.1",0.345985815704265,0.0779879323980566,0,670,330,0.2
"218",0.300237304265166,0.0878248005118152,0,696,304,0.2
"193.5",0.331325669643339,0.0817138304572771,0,666,334,0.2
"44.1",0.395976218906472,0.082471045122339,0,590,410,0.2
"440.1",0.353974635081344,0.0785961185949362,0,644,356,0.2
"246.2",0.37310414994313,0.0672255772258117,0,620,380,0.2
"539",0.384818572562424,0.0739996291049155,0,638,362,0.2
"436.1",0.424527295244224,0.0721077453889955,0,561,439,0.2
"212.2",0.345985815704265,0.0779879323980566,0,625,375,0.2
"182.1",0.280712329917058,0.0877764430230984,0,707,293,0.2
"403",0.316131744565233,0.0821794982242796,0,684,316,0.2
"454.1",0.35940360971124,0.0834758035209711,0,642,358,0.2
"354",0.398887832028035,0.076132298083339,0,602,398,0.2
"55",0.319480670933758,0.0856968659522753,0,700,300,0.2
"317",0.317302311556124,0.0866598492774024,0,674,326,0.2
"48.1",0.37279603665174,0.0741599356892618,0,613,387,0.2
"89.1",0.318209472070564,0.0844940616280717,0,700,300,0.2
"379",0.341896310245278,0.076610811829251,0,631,369,0.2
"307.2",0.380500014337895,0.077246454738376,0,615,385,0.2
"517.4",0.324884734697367,0.0775270668777542,0,688,312,0.2
"424.1",0.376997150750818,0.0735560249247249,0,598,402,0.2
"64.1",0.382813873278572,0.0684879237731392,0,604,396,0.2
"239",0.32210330767436,0.0835340662163942,0,670,330,0.2
"472",0.331839642029179,0.0893867978062791,0,644,356,0.2
"351",0.354645908660219,0.0786691008455659,0,624,376,0.2
"426",0.354538318300991,0.0789558806452217,0,621,379,0.2
"346.1",0.361563003250718,0.0734420329649684,0,666,334,0.2
"180.2",0.369194572061821,0.0741599458645418,0,647,353,0.2
"396",0.287300476713495,0.0902782867340244,0,704,296,0.2
"314.1",0.414862302184114,0.0695257368569817,0,613,387,0.2
"361",0.396813167333747,0.0742176312735207,0,614,386,0.2
