      prop.aneu   prob.meio    prob.mito    dispersal euploid mosaic aneuploid
141  0.99765625 0.520114762 0.5082109489 0.2986096626    0.00   0.00      1.00
142  0.99972656 0.218578616 0.5978614234 0.6340882820    0.00   0.00      1.00
143  0.98109375 0.883296257 0.1959323331 0.1782677879    0.00   0.07      0.93
144  0.99996094 0.337817512 0.6429108402 0.3021437952    0.00   0.00      1.00
145  1.00000000 0.801560012 0.8534990195 0.3936467865    0.00   0.00      1.00
146  0.90234375 0.411318553 0.2025764638 0.2176963342    0.01   0.33      0.66
147  0.85910156 0.624406081 0.1245253244 0.1827153219    0.00   0.36      0.64
148  1.00000000 0.683948978 0.8388554174 0.9580425641    0.00   0.00      1.00
149  1.00000000 0.033353653 0.9851622554 0.3880321074    0.00   0.00      1.00
150  0.94917969 0.732397549 0.1717630604 0.1955257570    0.00   0.19      0.81
151  1.00000000 0.935375605 0.8071433278 0.5869102527    0.00   0.00      1.00
152  0.98449219 0.325329878 0.3850742863 0.2932756853    0.00   0.05      0.95
153  1.00000000 0.291570269 0.9249404953 0.3454552919    0.00   0.00      1.00
154  0.99957031 0.301459695 0.5907896054 0.8304895130    0.00   0.00      1.00
155  0.72414062 0.329544333 0.1006812351 0.3484362832    0.02   0.55      0.43
156  0.99964844 0.505593807 0.6764109049 0.3884367074    0.00   0.00      1.00
157  0.99957031 0.386947359 0.6220907865 0.3837679983    0.00   0.01      0.99
158  1.00000000 0.775424391 0.8006576616 0.6132460379    0.00   0.00      1.00
159  0.94902344 0.492913737 0.2336686330 0.6891189690    0.00   0.19      0.81
160  0.88109375 0.374552769 0.1825462654 0.6607119716    0.00   0.38      0.62
161  0.61605469 0.188102583 0.1012618875 0.3528811503    0.06   0.74      0.20
162  0.99734375 0.545827199 0.5089565604 0.2973232572    0.00   0.01      0.99
163  0.99566406 0.072757933 0.4798143175 0.7255753444    0.00   0.02      0.98
164  0.99996094 0.333553237 0.7147230112 0.3751602741    0.00   0.00      1.00
165  1.00000000 0.065446968 0.9442595572 0.2873629173    0.00   0.00      1.00
166  0.38179687 0.045703329 0.0464618597 0.7631700658    0.14   0.77      0.09
167  1.00000000 0.485814225 0.9515115779 0.0057868019    0.00   0.00      1.00
168  0.99976562 0.601138931 0.6113003031 0.2771033098    0.00   0.00      1.00
169  0.91054687 0.728384098 0.1358138775 0.1320385488    0.01   0.19      0.80
170  0.89332031 0.263198807 0.2062232667 0.2852885777    0.00   0.36      0.64
171  0.99929687 0.917002466 0.5066056049 0.3678718773    0.00   0.01      0.99
172  0.99691406 0.018394798 0.4961100689 0.0996232936    0.00   0.01      0.99
173  0.90152344 0.327269287 0.2205158144 0.9922892265    0.00   0.42      0.58
174  0.99917969 0.632300403 0.5037659013 0.1311563295    0.00   0.01      0.99
175  0.93441406 0.796118751 0.1587878021 0.7758991693    0.00   0.19      0.81
176  0.84429687 0.264152793 0.1835623723 0.6225458679    0.00   0.53      0.47
177  1.00000000 0.975620669 0.9191437613 0.7427300029    0.00   0.00      1.00
178  0.99550781 0.375003369 0.4459888493 0.6900541850    0.00   0.01      0.99
179  0.84585937 0.618637150 0.1205084941 0.7525349038    0.01   0.38      0.61
180  0.97738281 0.066531678 0.3838930062 0.6917574133    0.00   0.12      0.88
181  0.98074219 0.883815741 0.2164624652 0.7976461819    0.00   0.06      0.94
182  0.99296875 0.129589681 0.4488320942 0.5806231729    0.00   0.05      0.95
183  1.00000000 0.932605743 0.8519675364 0.7757381804    0.00   0.00      1.00
184  0.91960937 0.384846549 0.2189518244 0.3290507894    0.00   0.27      0.73
185  0.86339844 0.421256452 0.1678180720 0.4685664498    0.00   0.40      0.60
186  0.99269531 0.747275135 0.3508060481 0.7358001077    0.00   0.04      0.96
187  0.99996094 0.491679998 0.7754794362 0.6979918983    0.00   0.00      1.00
188  0.94781250 0.801352848 0.1606591179 0.1567381071    0.00   0.13      0.87
189  1.00000000 0.167401683 0.8310606028 0.0156855232    0.00   0.00      1.00
190  1.00000000 0.291426200 0.7040809789 0.0146168435    0.00   0.00      1.00
191  0.76222656 0.561785253 0.0551574554 0.9755982643    0.05   0.33      0.62
192  0.98519531 0.499655121 0.3635805987 0.2794846823    0.00   0.09      0.91
193  0.99847656 0.242902048 0.5526491923 0.1976720057    0.00   0.00      1.00
194  1.00000000 0.363809770 0.8933404426 0.9190942133    0.00   0.00      1.00
195  0.66375000 0.079407252 0.1142219407 0.6642512064    0.02   0.77      0.21
196  0.99976562 0.358717712 0.6495532463 0.0514763030    0.00   0.00      1.00
197  0.99859375 0.142065196 0.5554718031 0.4457726164    0.00   0.01      0.99
198  1.00000000 0.487670095 0.9205078243 0.6775597492    0.00   0.00      1.00
199  0.89578125 0.130361099 0.2472618325 0.8391790888    0.00   0.36      0.64
200  0.85207031 0.778886689 0.0399236060 0.4341573433    0.08   0.13      0.79
201  0.99683594 0.231825970 0.4847870809 0.8885914157    0.00   0.02      0.98
202  0.99828125 0.921199091 0.3472085574 0.9154096814    0.00   0.00      1.00
203  0.98226563 0.440235194 0.3589233716 0.8562451932    0.00   0.15      0.85
204  0.85722656 0.046997257 0.2090323358 0.7084405762    0.00   0.48      0.52
205  0.84246094 0.503296400 0.1300843162 0.9872484244    0.00   0.42      0.58
206  0.97421875 0.267536902 0.3553557107 0.7822309164    0.00   0.12      0.88
207  1.00000000 0.507746187 0.9170076021 0.9396757216    0.00   0.00      1.00
208  0.90417969 0.621935644 0.1424770367 0.8479880262    0.00   0.25      0.75
209  0.99453125 0.770278689 0.3820935977 0.2267461731    0.00   0.03      0.97
210  1.00000000 0.865596862 0.6970617417 0.4154595032    0.00   0.00      1.00
211  0.99050781 0.464354940 0.3651504933 0.8586279734    0.00   0.06      0.94
212  1.00000000 0.572073067 0.8983201450 0.2064861672    0.00   0.00      1.00
213  0.84511719 0.291092329 0.1777519959 0.7680005231    0.00   0.50      0.50
214  1.00000000 0.841485115 0.6099344806 0.0348647006    0.00   0.00      1.00
215  0.33179687 0.047401556 0.0435397727 0.5414901129    0.27   0.66      0.07
216  0.78503906 0.073287781 0.1573015146 0.0386556366    0.04   0.53      0.43
217  0.99566406 0.346803318 0.4652309949 0.6003409280    0.00   0.01      0.99
218  0.99925781 0.118173036 0.5712339608 0.1639524833    0.00   0.00      1.00
219  0.85585937 0.518485425 0.1358513013 0.5779753984    0.01   0.34      0.65
220  1.00000000 0.053846419 0.8147805003 0.0848174477    0.00   0.00      1.00
221  0.98707031 0.501814110 0.3789805975 0.1694633823    0.00   0.05      0.95
222  0.79371094 0.434015432 0.1337770529 0.0614632778    0.03   0.47      0.50
223  0.83675781 0.798872567 0.0041556680 0.4793217648    0.16   0.01      0.83
224  0.61667969 0.031199541 0.1111188366 0.1922730191    0.07   0.72      0.21
225  0.99132813 0.742505509 0.3515107706 0.9628639547    0.00   0.05      0.95
226  0.99433594 0.433984002 0.4644528902 0.6747356609    0.00   0.01      0.99
227  1.00000000 0.773342358 0.7995109144 0.0181649602    0.00   0.00      1.00
228  0.97851562 0.810863249 0.2301939267 0.6009969758    0.00   0.10      0.90
229  1.00000000 0.772901410 0.7795047853 0.1490423158    0.00   0.00      1.00
230  0.99988281 0.271873678 0.6810601712 0.5322691626    0.00   0.01      0.99
231  0.96316406 0.278064648 0.3176077940 0.6867963911    0.00   0.15      0.85
232  1.00000000 0.282197695 0.6889968980 0.8830513153    0.00   0.00      1.00
233  1.00000000 0.568607340 0.6697905322 0.1798248284    0.00   0.00      1.00
234  1.00000000 0.121701717 0.9217828908 0.3757930701    0.00   0.00      1.00
235  1.00000000 0.505969687 0.8682654211 0.1671896419    0.00   0.00      1.00
236  0.99937500 0.923412951 0.4588408517 0.6147738642    0.00   0.01      0.99
237  0.99812500 0.142541506 0.5154501437 0.8305865156    0.00   0.01      0.99
238  1.00000000 0.077684810 0.8958766612 0.6403412065    0.00   0.00      1.00
239  1.00000000 0.118494207 0.7334601842 0.5905192180    0.00   0.00      1.00
240  0.97917969 0.680118158 0.2909881989 0.8127870001    0.00   0.05      0.95
241  0.99976562 0.529994196 0.6276524756 0.4742691992    0.00   0.00      1.00
242  0.99992187 0.641715894 0.7095996870 0.7684751146    0.00   0.00      1.00
243  0.67933594 0.438309118 0.0662690757 0.7280621021    0.05   0.51      0.44
244  1.00000000 0.369677832 0.8323833058 0.7871598529    0.00   0.00      1.00
245  0.99988281 0.776451928 0.6523677744 0.4641834681    0.00   0.00      1.00
246  0.98988281 0.353069830 0.3766437781 0.6408101283    0.00   0.04      0.96
247  0.99980469 0.923813588 0.3836877944 0.5414443614    0.00   0.01      0.99
248  1.00000000 0.540485819 0.9007467467 0.0732955697    0.00   0.00      1.00
249  0.69378906 0.323117864 0.1039280198 0.1604228485    0.04   0.57      0.39
250  0.99902344 0.600543646 0.5245588231 0.4409624862    0.00   0.00      1.00
251  1.00000000 0.469987015 0.7167177154 0.8781971084    0.00   0.00      1.00
252  1.00000000 0.541621336 0.6131585629 0.6358220000    0.00   0.00      1.00
253  0.99855469 0.493343024 0.5572181952 0.2150135303    0.00   0.02      0.98
254  1.00000000 0.653939464 0.8305357632 0.4679253413    0.00   0.00      1.00
255  1.00000000 0.893334223 0.6979355684 0.7260959579    0.00   0.00      1.00
256  0.88214844 0.776612852 0.0798370675 0.6776957463    0.01   0.22      0.77
257  0.99960938 0.402377546 0.5939832446 0.2656454942    0.00   0.00      1.00
258  0.96160156 0.842595206 0.2074085521 0.6754527153    0.00   0.15      0.85
259  1.00000000 0.320027201 0.7752483373 0.9689203736    0.00   0.00      1.00
260  1.00000000 0.951961186 0.6270356893 0.6987477578    0.00   0.00      1.00
261  0.99996094 0.714514648 0.6522435385 0.0533937386    0.00   0.00      1.00
262  0.99644531 0.562339225 0.4616794456 0.2390243253    0.00   0.00      1.00
263  1.00000000 0.514085640 0.7493422921 0.5111347388    0.00   0.00      1.00
264  0.83980469 0.755155053 0.0169919359 0.4235561548    0.09   0.10      0.81
265  0.99886719 0.361671136 0.5476740627 0.2967518729    0.00   0.00      1.00
266  1.00000000 0.812818225 0.9025685419 0.3604832301    0.00   0.00      1.00
267  1.00000000 0.794977035 0.6930968754 0.6580665871    0.00   0.00      1.00
268  0.99343750 0.651555745 0.3319723548 0.9626645031    0.00   0.04      0.96
269  1.00000000 0.894421698 0.9754975736 0.4712522242    0.00   0.00      1.00
270  1.00000000 0.456344206 0.7400963688 0.4714397567    0.00   0.00      1.00
271  0.99839844 0.873282193 0.4514903992 0.0905913461    0.00   0.02      0.98
272  0.96468750 0.468516613 0.2987338414 0.6783195797    0.00   0.13      0.87
273  1.00000000 0.160270958 0.8258716241 0.9551146147    0.00   0.00      1.00
274  1.00000000 0.007426233 0.8667041045 0.6128819343    0.00   0.00      1.00
275  0.15628906 0.207556272 0.0031057857 0.8257460787    0.76   0.10      0.14
276  1.00000000 0.551249923 0.9788210979 0.4629384752    0.00   0.00      1.00
277  1.00000000 0.361489506 0.7397288349 0.2568306334    0.00   0.00      1.00
278  0.71214844 0.177828070 0.1112955529 0.6486557710    0.02   0.64      0.34
279  0.99988281 0.926050189 0.5680020566 0.4438413433    0.00   0.00      1.00
280  0.89222656 0.121111610 0.2355566365 0.8919584823    0.00   0.31      0.69
281  1.00000000 0.709253824 0.6788076642 0.8529443850    0.00   0.00      1.00
282  0.91460937 0.739990884 0.1685991050 0.4385383341    0.00   0.27      0.73
283  0.59035156 0.476356983 0.0182949735 0.8034620069    0.30   0.19      0.51
284  0.96089844 0.476281971 0.2605277831 0.4843521765    0.00   0.14      0.86
285  1.00000000 0.825297606 0.7327410921 0.2484359236    0.00   0.00      1.00
286  1.00000000 0.530239850 0.9792161249 0.9580654842    0.00   0.00      1.00
287  0.68171875 0.329221517 0.0862582512 0.5683751421    0.03   0.55      0.42
288  0.99875000 0.471781164 0.5283696325 0.5332901771    0.00   0.00      1.00
289  1.00000000 0.792203194 0.9397912296 0.9296724452    0.00   0.00      1.00
290  1.00000000 0.919359626 0.8214107431 0.7610424841    0.00   0.00      1.00
291  0.85496094 0.553566931 0.1500583838 0.5732883015    0.00   0.42      0.58
292  0.95628906 0.387219814 0.2633924859 0.4452978452    0.00   0.13      0.87
293  1.00000000 0.323470220 0.8184944901 0.0565258723    0.00   0.00      1.00
294  1.00000000 0.604217337 0.8777878440 0.4482570663    0.00   0.00      1.00
295  0.99757812 0.435824999 0.5063372948 0.6300968700    0.00   0.01      0.99
296  0.99578125 0.693570164 0.4322829959 0.5031940208    0.00   0.02      0.98
297  0.98101562 0.737086008 0.2810652563 0.1002052133    0.00   0.07      0.93
298  0.99781250 0.723223589 0.4302227132 0.9610804014    0.00   0.01      0.99
299  1.00000000 0.448433973 0.9192671524 0.4866910568    0.00   0.00      1.00
300  0.99882812 0.526967373 0.5031306865 0.7664857723    0.00   0.00      1.00
301  0.99984375 0.579047122 0.6177410034 0.0551925367    0.00   0.00      1.00
302  0.99937500 0.306814200 0.5978985578 0.5025341210    0.00   0.01      0.99
303  1.00000000 0.519612665 0.8015134006 0.9453514735    0.00   0.00      1.00
304  0.98968750 0.650071694 0.3490752596 0.4186715984    0.00   0.02      0.98
305  0.99847656 0.427181048 0.5223865863 0.7401488826    0.00   0.00      1.00
306  1.00000000 0.542899750 0.8611216375 0.1266222848    0.00   0.00      1.00
307  0.99949219 0.913530877 0.5170667095 0.9519527068    0.00   0.00      1.00
308  0.90433594 0.362160237 0.2139871884 0.9612409780    0.00   0.32      0.68
309  0.99964844 0.929809294 0.4422565631 0.2605821160    0.00   0.00      1.00
310  1.00000000 0.029812590 0.9409592547 0.7836822991    0.00   0.00      1.00
311  0.99734375 0.447132566 0.4535528289 0.2666656408    0.00   0.03      0.97
312  0.93128906 0.566657905 0.2275734162 0.1197242413    0.00   0.22      0.78
313  0.97414062 0.731746539 0.2744715137 0.0670667142    0.00   0.09      0.91
314  0.99371094 0.651427404 0.3604573905 0.0963606392    0.00   0.04      0.96
315  0.96886719 0.238299820 0.3276567245 0.5981047808    0.00   0.15      0.85
316  1.00000000 0.172724450 0.6405201370 0.9336102307    0.00   0.00      1.00
