      prop.aneu    prob.meio   prob.mito    dispersal euploid mosaic aneuploid
140  0.99789063 0.8976970175 0.375030895 0.5842157034    0.00   0.03      0.97
141  1.00000000 0.9484715883 0.544169114 0.1191979041    0.00   0.00      1.00
142  0.96664063 0.5518024545 0.273962733 0.3995277628    0.00   0.13      0.87
143  1.00000000 0.6685268704 0.785985020 0.2013130342    0.00   0.00      1.00
144  0.66289062 0.1616796716 0.098447459 0.9772666770    0.00   0.73      0.27
145  0.75191406 0.2351342274 0.133389377 0.3326968707    0.01   0.64      0.35
146  0.99917969 0.9758077164 0.343370733 0.5711851742    0.00   0.00      1.00
147  0.77960938 0.5818064881 0.065045060 0.6326613382    0.01   0.33      0.66
148  1.00000000 0.8112788952 0.953017910 0.0193696495    0.00   0.00      1.00
149  0.13023438 0.0119618897 0.011676115 0.6009544921    0.65   0.31      0.04
150  0.74898438 0.1348815481 0.147359385 0.5059644543    0.00   0.72      0.28
151  0.97335938 0.5255026077 0.316414119 0.8246623620    0.00   0.13      0.87
152  1.00000000 0.8819276858 0.855522521 0.1652224339    0.00   0.00      1.00
153  0.61132812 0.4138221412 0.025441439 0.5273844940    0.24   0.23      0.53
154  1.00000000 0.4530218800 0.952523680 0.0756470154    0.00   0.00      1.00
155  1.00000000 0.6949170444 0.994220151 0.0340464606    0.00   0.00      1.00
156  1.00000000 0.2805312208 0.710709103 0.7727925386    0.00   0.00      1.00
157  1.00000000 0.1354727356 0.747934793 0.4672975955    0.00   0.00      1.00
158  0.99875000 0.4739457986 0.554304108 0.3418376723    0.00   0.00      1.00
159  1.00000000 0.4136482829 0.880965952 0.8666374010    0.00   0.00      1.00
160  0.74644531 0.0574979817 0.155373139 0.8130808743    0.00   0.66      0.34
161  0.92136719 0.2880328347 0.234815055 0.1946639568    0.00   0.37      0.63
162  1.00000000 0.5376942663 0.928861537 0.3252831351    0.00   0.00      1.00
163  0.55039063 0.2484742396 0.068709017 0.0525275723    0.32   0.40      0.28
164  1.00000000 0.9469838636 0.686606507 0.5080791458    0.00   0.00      1.00
165  0.99941406 0.7450648393 0.525743806 0.3415064842    0.00   0.00      1.00
166  0.99453125 0.5976710075 0.410299906 0.1641787193    0.00   0.02      0.98
167  1.00000000 0.4437044484 0.942780239 0.9199208687    0.00   0.00      1.00
168  0.99988281 0.4569875149 0.608692013 0.4496837016    0.00   0.00      1.00
169  0.97617188 0.1214508961 0.350756295 0.8229912908    0.00   0.13      0.87
170  1.00000000 0.4755508825 0.856231690 0.6985746534    0.00   0.00      1.00
171  0.98921875 0.0921146402 0.434307494 0.3481529357    0.00   0.02      0.98
172  0.98589844 0.5732209040 0.373215511 0.8667772131    0.00   0.05      0.95
173  1.00000000 0.0265355313 0.981264895 0.9500466720    0.00   0.00      1.00
174  0.99531250 0.0925251013 0.482700707 0.6392168070    0.00   0.01      0.99
175  0.99949219 0.6026041650 0.559296084 0.4262568178    0.00   0.01      0.99
176  0.99988281 0.5158245720 0.655350879 0.3635636284    0.00   0.00      1.00
177  0.99566406 0.9215455218 0.419237050 0.2815660101    0.00   0.02      0.98
178  0.93210938 0.8208191306 0.076497913 0.2509289777    0.01   0.12      0.87
179  1.00000000 0.3584638236 0.866750209 0.1829540145    0.00   0.00      1.00
180  1.00000000 0.3327374309 0.730415704 0.1346242379    0.00   0.00      1.00
