"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"130",10,0.5225391,0.4311892,0.02029851,0.165967599,0.38,0.18,0.44
"131",1,0.5135156,0.486142,0.02097367,0.097874278,0.38,0.19,0.43
"132",2,0.5011328,0.3919259,0.01908352,0.194294485,0.4,0.19,0.41
"133",3,0.4935156,0.4873452,0.02153689,0.473897466,0.39,0.19,0.42
"134",4,0.4975391,0.3966332,0.02283779,0.021236112,0.38,0.19,0.43
"135",5,0.5016797,0.4054422,0.02177242,0.004431072,0.39,0.18,0.43
"136",6,0.5054688,0.3535681,0.02463722,0.033679351,0.39,0.18,0.43
"137",7,0.5157812,0.4429704,0.02481279,0.069825121,0.39,0.18,0.43
"138",8,0.4855859,0.3522952,0.01998426,0.121242013,0.4,0.19,0.41
"139",9,0.5033594,0.4391131,0.02165638,0.397109126,0.4,0.18,0.42
"140",10,0.5092969,0.3921434,0.01924617,0.19833618,0.39,0.19,0.42
"141",1,0.5201172,0.4389424,0.01972197,0.43160181,0.38,0.18,0.44
"142",2,0.5100391,0.4183321,0.01901384,0.31403378,0.37,0.19,0.44
"143",3,0.5131641,0.4097259,0.02054565,0.04132888,0.37,0.19,0.44
"144",4,0.4633203,0.3879097,0.01937984,0.08289071,0.4,0.19,0.41
"145",5,0.5221484,0.4786987,0.01955909,0.18823758,0.4,0.17,0.43
"146",6,0.4854297,0.4479137,0.02222967,0.1277512,0.4,0.19,0.41
"147",7,0.5341406,0.4415772,0.02321165,0.06167052,0.37,0.19,0.44
"148",8,0.5010156,0.3911921,0.01958619,0.18128601,0.38,0.2,0.42
"149",9,0.515,0.4273439,0.02130684,0.15228443,0.37,0.19,0.44
"150",10,0.5148438,0.4380184,0.01950036,0.08181647,0.39,0.18,0.43
"151",1,0.5169531,0.4565119,0.02084684,0.01904375,0.38,0.19,0.43
"152",2,0.5101172,0.4314282,0.02023409,0.01747385,0.38,0.18,0.44
"153",3,0.5180078,0.4418708,0.02075423,0.18952715,0.38,0.18,0.44
"154",4,0.4952344,0.4139153,0.02231731,0.13640673,0.4,0.19,0.41
"155",5,0.5194531,0.4004503,0.01927789,0.18199923,0.39,0.17,0.44
"156",6,0.5092578,0.503581,0.02114359,0.24859316,0.39,0.18,0.43
"157",7,0.4841016,0.429347,0.01941127,0.09885592,0.4,0.19,0.41
"158",8,0.5085547,0.4360076,0.02246671,0.08548054,0.39,0.19,0.42
"159",9,0.5227344,0.3685423,0.02464712,0.10460127,0.39,0.17,0.44
"160",10,0.5011719,0.5008267,0.01938122,0.30942208,0.4,0.17,0.43
"161",1,0.5238672,0.363746,0.02286032,0.14342529,0.39,0.18,0.43
"162",2,0.493125,0.3778646,0.02072989,0.26052695,0.39,0.19,0.42
"163",3,0.4780859,0.4530447,0.01911527,0.70628091,0.39,0.2,0.41
"164",4,0.5269141,0.4128246,0.0202018,0.18739168,0.38,0.18,0.44
"165",5,0.5319922,0.4136881,0.02450793,0.04050162,0.39,0.18,0.43
"166",6,0.5048828,0.4433379,0.01925133,0.02086188,0.38,0.18,0.44
"167",7,0.5070703,0.4841058,0.02247315,0.28406158,0.39,0.19,0.42
"168",8,0.5231641,0.4549171,0.02019841,0.18397953,0.39,0.17,0.44
"169",9,0.5051562,0.4017702,0.02004645,0.20554929,0.39,0.18,0.43
"170",10,0.4943359,0.427725,0.02106156,0.23699683,0.4,0.18,0.42
"171",1,0.5015234,0.3697274,0.0220471,0.07392983,0.38,0.2,0.42
"172",2,0.5239453,0.45432,0.01996729,0.28657598,0.39,0.18,0.43
"173",3,0.511875,0.3640655,0.02379355,0.1979903,0.38,0.2,0.42
"174",4,0.5233984,0.4639377,0.0216823,0.05255298,0.37,0.2,0.43
"175",5,0.4990234,0.3675347,0.02481591,0.06461744,0.4,0.18,0.42
"176",6,0.4876563,0.4490254,0.01936336,0.12452485,0.39,0.19,0.42
"177",7,0.5266797,0.4691928,0.02059992,0.16950815,0.37,0.2,0.43
"178",8,0.4980078,0.4232512,0.02217568,0.08185553,0.39,0.19,0.42
"179",9,0.4935156,0.4321473,0.02015089,0.29555187,0.38,0.2,0.42
"180",10,0.5102344,0.385178,0.02073017,0.20839524,0.38,0.19,0.43
"181",1,0.4840625,0.3957908,0.01928469,0.12380834,0.39,0.19,0.42
"182",2,0.5246094,0.4936945,0.02271667,0.06198997,0.39,0.18,0.43
"183",3,0.5076563,0.4377747,0.02066301,0.12662968,0.38,0.19,0.43
"184",4,0.5047656,0.4242776,0.020191,0.29197452,0.38,0.19,0.43
"185",5,0.5067578,0.4087734,0.01984391,0.13197349,0.38,0.19,0.43
"186",6,0.5213672,0.4323865,0.0236649,0.196986,0.38,0.19,0.43
"187",7,0.5062891,0.394294,0.02091336,0.25529566,0.39,0.19,0.42
"188",8,0.503125,0.4798498,0.02254966,0.12253923,0.4,0.18,0.42
"189",9,0.5141406,0.474089,0.02268606,0.15175197,0.39,0.18,0.43
"190",10,0.5153125,0.4108439,0.0249921,0.18760458,0.39,0.18,0.43
"191",1,0.5086719,0.4677285,0.02043539,0.62391001,0.38,0.19,0.43
"192",2,0.4998047,0.4610733,0.02144139,0.04888868,0.38,0.2,0.42
"193",3,0.5172266,0.4204348,0.02109471,0.12311034,0.38,0.19,0.43
"194",4,0.5155078,0.3884219,0.01906465,0.52676937,0.37,0.19,0.44
"195",5,0.5141016,0.4714433,0.01987015,0.47544858,0.37,0.19,0.44
"196",6,0.5013281,0.4046302,0.01932307,0.24189237,0.37,0.2,0.43
"197",7,0.5096875,0.4811755,0.02281515,0.221259,0.38,0.19,0.43
"198",8,0.4879688,0.3865907,0.02034586,0.32547708,0.4,0.19,0.41
"199",9,0.4874609,0.4734113,0.02478206,0.11124305,0.4,0.19,0.41
"200",10,0.5158203,0.4000722,0.0191188,0.11300646,0.37,0.2,0.43
"201",1,0.5164844,0.3970231,0.02007189,0.06072805,0.39,0.19,0.42
"202",2,0.5151562,0.378081,0.02124744,0.08811072,0.39,0.18,0.43
"203",3,0.500625,0.4582649,0.02024833,0.12738122,0.38,0.2,0.42
"204",4,0.4940625,0.4474879,0.02314231,0.02856887,0.39,0.2,0.41
"205",5,0.5255078,0.3886264,0.02316027,0.17200407,0.37,0.2,0.43
"206",6,0.5039062,0.4538526,0.02056973,0.11492155,0.4,0.19,0.41
"207",7,0.5088672,0.4021474,0.0194458,0.2704509,0.39,0.18,0.43
"208",8,0.5042188,0.4274377,0.0204511,0.19784259,0.4,0.17,0.43
"209",9,0.5269141,0.4311911,0.0219783,0.05929777,0.37,0.19,0.44
"210",10,0.5045312,0.3946927,0.02127941,0.04376446,0.39,0.18,0.43
"211",1,0.5203906,0.4073209,0.02096501,0.11629781,0.39,0.19,0.42
"212",2,0.5410156,0.3956722,0.02493492,0.12494646,0.39,0.18,0.43
"213",3,0.5119531,0.4371409,0.02043621,0.17365038,0.4,0.18,0.42
"214",4,0.5063672,0.3966256,0.01979233,0.01197371,0.39,0.18,0.43
"215",5,0.5226172,0.4522117,0.02332542,0.01581711,0.39,0.18,0.43
"216",6,0.4891406,0.4337274,0.01992331,0.03471695,0.4,0.17,0.43
"217",7,0.5241797,0.391064,0.02295935,0.23579746,0.38,0.19,0.43
"218",8,0.5005859,0.3865327,0.0202235,0.2896025,0.39,0.18,0.43
"219",9,0.5078906,0.4636935,0.02111284,0.18788156,0.4,0.17,0.43
"220",10,0.5202734,0.3815916,0.02397631,0.0154739,0.39,0.18,0.43
"221",1,0.5244531,0.4907846,0.0204678,0.02046672,0.39,0.19,0.42
"222",2,0.5221094,0.4240241,0.02423313,0.12691671,0.39,0.19,0.42
"223",3,0.5084766,0.4023007,0.02390016,0.06035236,0.4,0.19,0.41
"224",4,0.4954688,0.3960897,0.02062071,0.05983468,0.4,0.18,0.42
"225",5,0.5123437,0.4391736,0.02136848,0.09255074,0.39,0.18,0.43
"226",6,0.5153125,0.5014216,0.02190338,0.52340274,0.37,0.19,0.44
"227",7,0.5344922,0.453627,0.0191394,0.1503314,0.37,0.19,0.44
"228",8,0.5002344,0.4551315,0.01910633,0.06921521,0.37,0.19,0.44
"229",9,0.5078516,0.3593864,0.02049535,0.12328224,0.4,0.17,0.43
"230",10,0.5153125,0.3761428,0.02214449,0.08527239,0.37,0.19,0.44
"231",1,0.5092578,0.4417692,0.02351695,0.03461544,0.38,0.2,0.42
"232",2,0.5080078,0.50595,0.02121761,0.23455449,0.4,0.18,0.42
"233",3,0.51125,0.4033537,0.02391364,0.04439281,0.39,0.18,0.43
"234",4,0.5192969,0.4540837,0.01929014,0.40468921,0.38,0.18,0.44
"235",5,0.5471875,0.5009376,0.0233841,0.04027635,0.38,0.18,0.44
"236",6,0.5009766,0.4639001,0.02468083,0.23172871,0.39,0.19,0.42
"237",7,0.5223828,0.4546779,0.02123323,0.04766078,0.38,0.18,0.44
"238",8,0.5064062,0.3661845,0.02079764,0.06322434,0.39,0.19,0.42
"239",9,0.4997656,0.4380162,0.02045197,0.32393939,0.39,0.19,0.42
"240",10,0.4939062,0.4782787,0.02173068,0.0140591,0.39,0.19,0.42
"241",1,0.4967969,0.4093087,0.02344519,0.01757764,0.4,0.19,0.41
"242",2,0.4838281,0.3786709,0.01981112,0.17188806,0.4,0.19,0.41
"243",3,0.5054688,0.4327282,0.02483582,0.02052099,0.39,0.18,0.43
"244",4,0.5018359,0.4614456,0.02223469,0.19431621,0.39,0.19,0.42
"245",5,0.4905859,0.4499346,0.01974839,0.08703775,0.4,0.19,0.41
"246",6,0.4967578,0.4434192,0.02493409,0.02272507,0.39,0.19,0.42
"247",7,0.5020703,0.3757079,0.02121443,0.3032798,0.38,0.2,0.42
"248",8,0.5204688,0.4551968,0.02104125,0.06583941,0.38,0.2,0.42
"249",9,0.5158984,0.437952,0.02183615,0.15653434,0.39,0.18,0.43
"250",10,0.5299609,0.4203505,0.02442291,0.08126886,0.38,0.18,0.44
"251",1,0.5080469,0.4972509,0.02188982,0.191130076,0.38,0.2,0.42
"252",2,0.5404297,0.3825594,0.02471099,0.003082348,0.38,0.19,0.43
"253",3,0.5046484,0.4357768,0.02489698,0.021210016,0.4,0.19,0.41
"254",4,0.51125,0.3993893,0.01931506,0.254951045,0.4,0.17,0.43
"255",5,0.5216406,0.4562457,0.0209803,0.030419282,0.38,0.18,0.44
"256",6,0.5027344,0.3950592,0.02179511,0.03994255,0.4,0.17,0.43
"257",7,0.5188281,0.4619255,0.02201196,0.137129714,0.38,0.19,0.43
"258",8,0.5217188,0.4600488,0.02465959,0.102364006,0.4,0.18,0.42
"259",9,0.5207422,0.4285388,0.01988848,0.087420192,0.38,0.18,0.44
"260",10,0.5254688,0.3971049,0.02479996,0.251128692,0.38,0.2,0.42
"261",1,0.5018359,0.4446653,0.01957146,0.11410438,0.4,0.17,0.43
"262",2,0.5029687,0.4787628,0.02422855,0.05520346,0.39,0.19,0.42
"263",3,0.4919922,0.4056256,0.01912926,0.45604175,0.38,0.2,0.42
"264",4,0.5004688,0.4553221,0.0206,0.56265764,0.4,0.18,0.42
"265",5,0.5014063,0.3990701,0.01930494,0.11769583,0.38,0.2,0.42
"266",6,0.5268359,0.4815406,0.02192909,0.28891647,0.38,0.18,0.44
"267",7,0.5202734,0.5036455,0.02025516,0.16816654,0.38,0.18,0.44
"268",8,0.5075,0.4610509,0.02444379,0.09096856,0.39,0.19,0.42
"269",9,0.4994922,0.4022198,0.02424155,0.08887787,0.38,0.2,0.42
"270",10,0.5112109,0.3834945,0.02159877,0.08194914,0.4,0.17,0.43
"271",1,0.4939453,0.4666784,0.01943613,0.091733964,0.39,0.19,0.42
"272",2,0.4895312,0.4294455,0.0205363,0.090481826,0.38,0.2,0.42
"273",3,0.5169531,0.4521446,0.01917045,0.208747392,0.39,0.18,0.43
"274",4,0.5182031,0.4615448,0.02411887,0.235111691,0.39,0.18,0.43
"275",5,0.5069922,0.4853693,0.01901092,0.168018091,0.39,0.18,0.43
"276",6,0.5154688,0.3902269,0.02316427,0.566345231,0.38,0.2,0.42
"277",7,0.4796484,0.3934557,0.01904098,0.122511568,0.4,0.18,0.42
"278",8,0.5231641,0.3941959,0.02207856,0.100364685,0.38,0.2,0.42
"279",9,0.4907031,0.4144965,0.02108527,0.006088139,0.4,0.18,0.42
"280",10,0.5098828,0.4052643,0.0243652,0.091301788,0.38,0.19,0.43
"281",1,0.5222266,0.5086375,0.01942486,0.14310979,0.39,0.17,0.44
"282",2,0.4892969,0.4328318,0.02035093,0.0334088,0.39,0.19,0.42
"283",3,0.5121875,0.417141,0.02420748,0.05190995,0.4,0.17,0.43
"284",4,0.5208594,0.461771,0.0238525,0.07069022,0.38,0.18,0.44
"285",5,0.4974219,0.3595318,0.0191161,0.11116417,0.38,0.2,0.42
"286",6,0.5291016,0.4255613,0.02198031,0.09961837,0.39,0.17,0.44
"287",7,0.4901172,0.4418293,0.02233103,0.06091726,0.38,0.2,0.42
"288",8,0.5425391,0.4005092,0.02484558,0.02880773,0.39,0.17,0.44
"289",9,0.4887891,0.3540618,0.01962533,0.07933581,0.39,0.18,0.43
"290",10,0.5136328,0.3892306,0.02255304,0.03908287,0.38,0.18,0.44
"291",1,0.5107812,0.4280548,0.02155338,0.08980323,0.39,0.18,0.43
"292",2,0.5027734,0.3846071,0.02265125,0.07726297,0.38,0.2,0.42
"293",3,0.5229297,0.3576815,0.02280462,0.20307035,0.38,0.19,0.43
"294",4,0.5212891,0.4920969,0.02290341,0.14683545,0.4,0.18,0.42
"295",5,0.4770703,0.4739653,0.02207449,0.19160669,0.4,0.19,0.41
"296",6,0.5029297,0.4287369,0.0205057,0.06939355,0.38,0.18,0.44
"297",7,0.5113281,0.4789259,0.02168254,0.03300093,0.4,0.18,0.42
"298",8,0.5113281,0.4814548,0.02264745,0.14982135,0.39,0.19,0.42
"299",9,0.5201172,0.4652945,0.02308298,0.58545873,0.38,0.18,0.44
"300",10,0.5162109,0.4302209,0.02024722,0.08443449,0.39,0.18,0.43
"301",1,0.5205469,0.3748158,0.02417258,0.08307767,0.39,0.19,0.42
"302",2,0.5058984,0.3949863,0.01943154,0.34474532,0.38,0.2,0.42
"303",3,0.5022656,0.4454652,0.02226602,0.17798179,0.38,0.2,0.42
"304",4,0.5117188,0.4187381,0.01952994,0.09132194,0.38,0.19,0.43
"305",5,0.4978516,0.3953757,0.02319853,0.06247237,0.39,0.19,0.42
"306",6,0.4889453,0.4818878,0.01959098,0.27941147,0.39,0.19,0.42
"307",7,0.5048828,0.4185087,0.02170875,0.39248893,0.38,0.19,0.43
"308",8,0.5167188,0.448166,0.01935671,0.14523464,0.38,0.19,0.43
"309",9,0.5063281,0.4510457,0.02049616,0.37358996,0.38,0.2,0.42
"310",10,0.5180469,0.4553199,0.0221531,0.29180441,0.39,0.18,0.43
"311",1,0.5005078,0.4133964,0.02256322,0.181759,0.38,0.2,0.42
"312",2,0.485,0.3843796,0.0199024,0.59080388,0.39,0.2,0.41
"313",3,0.4816016,0.4061102,0.02007083,0.1139546,0.39,0.19,0.42
"314",4,0.5046094,0.4551791,0.02175881,0.10696622,0.39,0.19,0.42
"315",5,0.485625,0.4707404,0.01927135,0.3075888,0.4,0.19,0.41
"316",6,0.4975391,0.3939792,0.02011856,0.34540199,0.39,0.2,0.41
"317",7,0.5048438,0.5032098,0.01997092,0.26552932,0.39,0.19,0.42
"318",8,0.5187891,0.4453456,0.0212137,0.08201147,0.38,0.18,0.44
