"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"15",0.495903519387936,0.00356358558448708,72,420,508,0.7
"395.1",0.521381582166264,0.00285662513081,114,349,537,0.7
"245",0.489592046735677,0.00318797831000114,96,428,476,0.7
"201",0.507754550995977,0.00321429037810997,77,376,547,0.7
"3",0.474653335996228,0.00274538225322888,123,382,495,0.7
"263",0.487825260653435,0.00293228640707724,135,397,468,0.7
"15.1",0.495903519387936,0.00356358558448708,74,438,488,0.7
"354",0.476152937377979,0.00387229367843329,68,450,482,0.7
"428.1",0.489900364737854,0.0030250930401524,113,412,475,0.7
"315",0.459916649506911,0.00302280942799592,101,416,483,0.7
"192",0.463104650178858,0.00277036223220637,122,423,455,0.7
"153",0.472293521227729,0.00360993559214849,75,442,483,0.7
"100",0.495552412469072,0.00313383455406622,98,411,491,0.7
"346",0.492585426683719,0.00320066498857375,90,427,483,0.7
"266",0.488804015678016,0.00289678034061803,115,401,484,0.7
"403",0.514502234015943,0.00265362162639423,126,338,536,0.7
"245.1",0.489592046735677,0.00318797831000114,99,396,505,0.7
"58",0.479948180865572,0.00372845399914391,80,428,492,0.7
"141",0.466315402182658,0.0037360151263348,87,475,438,0.7
"125",0.492311657234632,0.00296941596681787,121,414,465,0.7
"17",0.49838170160679,0.00295823180005084,120,394,486,0.7
"162",0.482319978282673,0.00320782395732362,107,416,477,0.7
"366",0.506668984435402,0.00322001582209679,107,390,503,0.7
"428.2",0.489900364737854,0.0030250930401524,113,381,506,0.7
"158",0.487743289046897,0.00291488973294428,114,419,467,0.7
"164",0.511955585416742,0.0034567065735923,95,390,515,0.7
"118",0.503608891798095,0.0029263992335572,124,414,462,0.7
"207",0.491715590114562,0.00335850321971985,95,419,486,0.7
"281.1",0.488478409044478,0.0030605417360974,109,406,485,0.7
"175",0.482961619485846,0.00334402417454716,95,424,481,0.7
"183",0.487623175770294,0.00411470737341226,64,442,494,0.7
"324",0.489967720617158,0.00336191787774001,85,417,498,0.7
"438",0.501157334260364,0.00267973483436455,141,370,489,0.7
"435",0.489654387997352,0.00353349007069244,80,451,469,0.7
"47",0.480385829516565,0.00372710475903029,83,409,508,0.7
"439.1",0.49294335137502,0.00338672168062152,87,430,483,0.7
"249",0.508863814509807,0.00382120859916944,61,411,528,0.7
"401",0.482582163903077,0.00250131572950954,154,370,476,0.7
"359.1",0.482060669812386,0.00453311391987704,48,477,475,0.7
"8",0.494433772963709,0.00291464599301676,106,377,517,0.7
"339",0.473713557915816,0.0033181815643489,111,434,455,0.7
"181.1",0.474770357384554,0.00296312803281038,127,400,473,0.7
"440",0.483341128943692,0.00374274475184746,86,437,477,0.7
"176",0.490772754107891,0.0035448066461112,79,425,496,0.7
"405",0.49798192768884,0.00315826270735198,110,403,487,0.7
"29",0.477898144010027,0.0034717972041853,83,425,492,0.7
"149",0.498913625145256,0.00306444749953408,87,432,481,0.7
"262",0.503640389479198,0.00328055931495223,100,404,496,0.7
"113",0.473666156302049,0.00274600578296804,124,402,474,0.7
"46",0.480427998255977,0.0033502856980508,113,422,465,0.7
"325",0.484312989683456,0.00294210922004685,124,420,456,0.7
"196",0.509354725765534,0.00299112563144768,102,382,516,0.7
"19",0.479020622839548,0.00330346987434556,102,399,499,0.7
"213",0.466653042345478,0.00340573134200371,97,443,460,0.7
"229",0.50892572926826,0.00286773321948028,116,371,513,0.7
"351",0.479975391690285,0.00346621945744109,87,444,469,0.7
"202",0.498303036111415,0.0032277257039445,83,411,506,0.7
"408",0.519867481897521,0.0024199214772647,162,325,513,0.7
"407",0.516420263908666,0.00353104105924099,83,402,515,0.7
"314",0.49395724995862,0.00322662356121231,103,436,461,0.7
